"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R9,R12,R11,R10";"0402-RES";4;"330";;;
2;"R3,R8";"0402-RES";2;"4.7k";;;
3;"U1";"SPARKFUN_SI470X";1;"SI4703";;;
4;"C7,C6";"0402-CAP";2;"1uF";;;
5;"JP5";"1X01";1;"M01PTH";;;
6;"JP1";"1X10";1;"M10"";;;
7;"R2,R1";"0402-RES";2;"10k";;;
8;"JP4,JP6";"MICRO-FIDUCIAL";2;"FIDUCIALUFIDUCIAL";;;
9;"L1";"C0402";1;"ferrite";;;
10;"Y1";"CRYSTAL-32KHZ-SMD";1;"32.768kHz";;;
11;"C4,C3";"0402-CAP";2;"22pF";;;
12;"C2";"0402-CAP";1;"22nF";;;
13;"JP3";"SFE-LOGO-FLAME";1;"LOGO-SFESK";;;
14;"U$1";"CREATIVE_COMMONS";1;"CREATIVE_COMMONS";;;
15;"C5";"0402-CAP";1;"4.7pF";;;
16;"C1";"0402-CAP";1;"0.1uF";;;
17;"U$3";"OSHW-LOGO-S";1;"OSHW-LOGOS";;;
18;"JP2";"SFE-NEW-WEB";1;"LOGO-SFENW2";;;
