"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U$5";"PLCC-6-LED";1;"LED-TRICOLOR";;;
2;"R25";"0603-RES";1;"2.2k";;;
3;"STANDOFF3,STANDOFF4,STANDOFF1,STANDOFF2";"STAND-OFF";4;"STAND-OFF";;;
4;"JP2";"1X03_SMD_RA_FEMALE";1;"1x3 RA Female .1"";;;
5;"R22";"0603-RES";1;"100k";;;
6;"U3";"C2031N-1A2-B10K-GP";1;"10K_LINEAR_SLIDE_POT_SMALL";;;
7;"R4,R24,R27,R23,R26,R3,R14,R2";"0603-RES";8;"10k";;;
8;"C6,C13,C7,C12,C14,C1,C11,C8,C10";"0603-CAP";9;"0.1uF";;;
9;"C2,C5";"0603-CAP";2;"4.7uF";;;
10;"FID1,FID2";"FIDUCIAL-1X2";2;"FIDUCIAL1X2";;;
11;"R11,R8,R9,R12,R10,R17";"0603-RES";6;"300";;;
12;"C9";"EIA3216";1;"10uF";;;
13;"J1";"2X3-NS";1;"AVR_SPI_PRG_6NS";;;
14;"S2";"AYZ0202";1;"";;;
15;"D5,D4";"SOD-323";2;"";;;
16;"FRAME1";"CREATIVE_COMMONS";1;"FRAME-LEDGER";;;
17;"JP1";"JST-2-SMD";1;"LiPo";;;
18;"U2";"TQFP32-08";1;"ATMEGA328";;;
19;"R15,R13,R7,R6";"0603-RES";4;"1k";;;
20;"F2,F1";"PTC-1206";2;"PTCSMD";;;
21;"LED3,LED1,LED4,LED5,LED2";"LED-1206";5;"White";;;
22;"R19,R21";"0603-RES";2;"100";;;
23;"U9";"MIC-9.7MM";1;"MIC9.7MM";;;
24;"U4";"SOT23-3";1;"MCP9700";;;
25;"R5,R1";"0603-RES";2;"330";;;
26;"D2";"LED-1206";1;"RED";;;
27;"U8";"SO08";1;"LMV358SOIC";;;
28;"C3";"EIA3528";1;"47uF";;;
29;"C4";"0603-CAP";1;"1.0uF";;;
30;"S3";"AYZ0202";1;"On/Off";;;
31;"LED6";"LED-0603";1;"Red";;;
32;"S1";"TACTILE_SWITCH_SMD";1;"Reset";;;
33;"LED7";"LED-0603";1;"Green";;;
34;"JP3";"1X04_SMD_STRAIGHT_COMBO";1;"";;;
35;"U7";"SOT23-5";1;"V_REG_MIC52053.3V";;;
36;"Q2";"SOT23-3";1;"MOSFET-P";;;
37;"X1";"USB-MINIB";1;"USBSMD";;;
38;"D1";"LED-0603";1;"Yellow";;;
39;"Y1";"RESONATOR-SMD";1;"8MHz";;;
40;"S5";"TACTILE_SWITCH_TALL";1;"SWITCH-MOMENTARY-2SMD-4";;;
41;"Q1";"SOT23";1;"MOSFET-N";;;
42;"U5";"SSOP28DB";1;"FT232RLSSOP";;;
43;"U1";"SOT23-5";1;"MCP73831";;;
44;"U6";"ALS-PT19";1;"LIGHTSENSORALS";;;
