"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DATASHEET-URL";"DESCRIPTION";"GERDER";"HEIGHT";"JLCASSY";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUNT";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"PART-NUMBER";"PINS";"PROD_ID";"RATED-CURRENT";"TYPE";"WORKING-VOLTAGE";
"C1";"47u";"CAP-1206";"_PKG_C_1206";"";"";"";"";"";"";"";"C96123";"";"";"";"";"";"";"";"";"";"";"";
"C2";"100n";"CAP-0402";"_PKG_C_0402";"";"";"";"";"";"";"";"C307331";"";"";"";"";"";"";"";"";"";"";"";
"C3";"47u";"CAP-1206";"_PKG_C_1206";"";"";"";"";"";"";"";"C96123";"";"";"";"";"";"";"";"";"";"";"";
"C4";"47u";"CAP-1206";"_PKG_C_1206";"";"";"";"";"";"";"";"C96123";"";"";"";"";"";"";"";"";"";"";"";
"C5";"10n";"CAP-0402";"_PKG_C_0402";"";"";"";"";"";"";"";"C15195";"";"";"";"";"";"";"";"";"";"";"";
"C6";"100n";"CAP-0402";"_PKG_C_0402";"";"";"";"";"";"";"";"C307331";"";"";"";"";"";"";"";"";"";"";"";
"C7";"47u";"CAP-1206";"_PKG_C_1206";"";"";"";"";"";"";"";"C96123";"";"";"";"";"";"";"";"";"";"";"";
"C8";"47u";"CAP-1206";"_PKG_C_1206";"";"";"";"";"";"";"";"C96123";"";"";"";"";"";"";"";"";"";"";"";
"C9";"100n";"CAP-0402";"_PKG_C_0402";"";"";"";"";"";"";"";"C307331";"";"";"";"";"";"";"";"";"";"";"";
"C10";"47u";"CAP-1206";"_PKG_C_1206";"";"";"";"";"";"";"";"C96123";"";"";"";"";"";"";"";"";"";"";"";
"C11";"100n";"CAP-0402";"_PKG_C_0402";"";"";"";"";"";"";"";"C307331";"";"";"";"";"";"";"";"";"";"";"";
"C12";"100n";"CAP-0402";"_PKG_C_0402";"";"";"";"";"";"";"";"C307331";"";"";"";"";"";"";"";"";"";"";"";
"C13";"100n";"CAP-0402";"_PKG_C_0402";"";"";"";"";"";"";"";"C307331";"";"";"";"";"";"";"";"";"";"";"";
"C14";"100n";"CAP-0402";"_PKG_C_0402";"";"";"";"";"";"";"";"C307331";"";"";"";"";"";"";"";"";"";"";"";
"C15";"100n";"CAP-0402";"_PKG_C_0402";"";"";"";"";"";"";"";"C307331";"";"";"";"";"";"";"";"";"";"";"";
"C16";"100n";"CAP-0402";"_PKG_C_0402";"";"";"";"";"";"";"";"C307331";"";"";"";"";"";"";"";"";"";"";"";
"CON1";"";"USB-A-FEMALE-JING-912-121A2023S10100";"JING_912-121A2023S10100";"";"";"";"";"";"";"";"C42428";"";"";"";"";"";"";"";"";"";"";"";
"CON2";"";"USB-A-FEMALE-JING-912-121A2023S10100";"JING_912-121A2023S10100";"";"";"";"";"";"";"";"C42428";"";"";"";"";"";"";"";"";"";"";"";
"CON3";"";"USBC_USB-C-12";"USBC_C-31-M-12";"";"";"";"";"";"";"";"C165948";"";"";"";"";"";"";"";"";"";"";"";
"CON4";"C136421 - HDMI-519";"685119136923";"685119136923";"WR-COM Mini HDMI SMT Horizontal";"";"";"https://www.we-online.com/catalog/datasheet/685119136923.pdf";"";"Receptacle";"";"C136421";"";"";"SMT";"";"";"685119136923";" 19 ";"";"0.5A";"Horizontal";"40VAC";
"CON5";"LPJG0926HENL";"RJ45_POE_LPJG0926HENL";"LPJG0926HENL";"LPJG0926HENL";"";"";"";"LPJG0926HENL";"";"13.5mm";"";"LINK-PP";"LPJG0926HENL";"";"";"";"";"";"";"";"";"";
"CON6";"C111196 - TF-15x15";"TF/SHENZHEN-SPECIAL";"TF/SHENZHEN-SPECIAL";"";"";"";"";"";"";"";"C111196";"";"";"";"";"";"";"";"";"";"";"";
"D1";"SRV05-4-P-T7";"DIODE-TVS-SRV05-4";"SOT95P280X145-6N";"SRV05 Series 4 Ch 3.5 pF 15 Vclamp Steering Diode/TVS Array Combo - SOT-23-6";"";"";"";"SRV05 Series 4 Ch 3.5 pF 15 Vclamp Steering Diode/TVS Array Combo - SOT-23-6";"";"1.45mm";"C85364";"ProTek Devices";"SRV05-4-P-T7";"";"";"";"";"";"";"";"";"";
"D2";"SRV05-4-P-T7";"DIODE-TVS-SRV05-4";"SOT95P280X145-6N";"SRV05 Series 4 Ch 3.5 pF 15 Vclamp Steering Diode/TVS Array Combo - SOT-23-6";"";"";"";"SRV05 Series 4 Ch 3.5 pF 15 Vclamp Steering Diode/TVS Array Combo - SOT-23-6";"";"1.45mm";"C85364";"ProTek Devices";"SRV05-4-P-T7";"";"";"";"";"";"";"";"";"";
"D3";"RB520S30T1G";"DIODE-SCHOTTKY-RB520S30";"_PKG_SOD523";"https://lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_ON-Semicon_RB520S30T1G_ON-Semicon-ON-RB520S30T1G_C154821.html";"";"";"";"";"";"";"C154821";"";"";"";"";"";"";"";"";"";"";"";
"D4";"RB520S30T1G";"DIODE-SCHOTTKY-RB520S30";"_PKG_SOD523";"https://lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_ON-Semicon_RB520S30T1G_ON-Semicon-ON-RB520S30T1G_C154821.html";"";"";"";"";"";"";"C154821";"";"";"";"";"";"";"";"";"";"";"";
"IC1";"LD1117-3.3";"POWER-LDO-LD1117-SOT223-4";"_PKG_SOT223-4_TI-DCY4";"";"";"";"";"";"";"";"C6186";"";"";"";"";"";"";"";"";"";"";"";
"J1";"";"CONN_04LOCK";"1X04_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-09696";"";"";"";
"J2";"";"CONN_03LOCK";"1X03_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J3";"";"CONN_02LOCK";"1X02_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J4";"";"CON_2.54MM_TH_2X20";"CON_2.54MM_TH_2X20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J5";"";"CONN_02LOCK";"1X02_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J6";"";"CON_2.54MM_TH_2X2";"CON_2.54MM_TH_2X2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L1";"FB";"INDUCTOR-0805";"_PKG_C_0805";"";"";"";"";"";"";"";"C75661";"";"";"";"";"";"";"";"";"";"";"";
"LED1";"";"LED-0805";"_PKG_LED_0805";"";"";"";"";"";"";"";"C2296";"";"";"";"";"";"";"";"";"";"";"";
"MOD1";"";"WIDORA_MCORE-H616_V1";"MCORE-H616_V1";"No description set";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R1";"5k1";"RES-0402";"_PKG_R_0402";"";"";"";"";"";"";"";"C25905";"";"";"";"";"";"";"";"";"";"";"";
"R2";"5k1";"RES-0402";"_PKG_R_0402";"";"";"";"";"";"";"";"C25905";"";"";"";"";"";"";"";"";"";"";"";
"R3";"100";"RES-0402";"_PKG_R_0402";"";"";"";"";"";"";"";"C25076";"";"";"";"";"";"";"";"";"";"";"";
"R4";"10k";"RES-0402";"_PKG_R_0402";"";"";"";"";"";"";"";"C25744";"";"";"";"";"";"";"";"";"";"";"";
"R5";"10k";"RES-0402";"_PKG_R_0402";"";"";"";"";"";"";"";"C25744";"";"";"";"";"";"";"";"";"";"";"";
"R6";"1k";"RES-0402";"_PKG_R_0402";"";"";"";"";"";"";"";"C11702";"";"";"";"";"";"";"";"";"";"";"";
"R7";"27k 1%";"RES-0402";"_PKG_R_0402";"";"";"";"";"";"";"";"C25771";"";"";"";"";"";"";"";"";"";"";"";
"R8";"100";"RES-0402";"_PKG_R_0402";"";"";"";"";"";"";"";"C25076";"";"";"";"";"";"";"";"";"";"";"";
"R9";"1k8";"RES-0402";"_PKG_R_0402";"";"";"";"";"";"";"";"C25871";"";"";"";"";"";"";"";"";"";"";"";
"R10";"1k8";"RES-0402";"_PKG_R_0402";"";"";"";"";"";"";"";"C25871";"";"";"";"";"";"";"";"";"";"";"";
"R11";"100";"RES-0402";"_PKG_R_0402";"";"";"";"";"";"";"";"C25076";"";"";"";"";"";"";"";"";"";"";"";
"R12";"100";"RES-0402";"_PKG_R_0402";"";"";"";"";"";"";"";"C25076";"";"";"";"";"";"";"";"";"";"";"";
"R13";"49.9Ω";"RES-0402";"_PKG_R_0402";"";"";"";"";"";"";"";"C25120";"";"";"";"";"";"";"";"";"";"";"";
"R14";"49.9Ω";"RES-0402";"_PKG_R_0402";"";"";"";"";"";"";"";"C25120";"";"";"";"";"";"";"";"";"";"";"";
"R15";"49.9Ω";"RES-0402";"_PKG_R_0402";"";"";"";"";"";"";"";"C25120";"";"";"";"";"";"";"";"";"";"";"";
"R16";"49.9Ω";"RES-0402";"_PKG_R_0402";"";"";"";"";"";"";"";"C25120";"";"";"";"";"";"";"";"";"";"";"";
"R17";"10k";"RES-0402";"_PKG_R_0402";"";"";"";"";"";"";"";"C25744";"";"";"";"";"";"";"";"";"";"";"";
"R18";"100";"RES-0402";"_PKG_R_0402";"";"";"";"";"";"";"";"C25076";"";"";"";"";"";"";"";"";"";"";"";
"R19";"10k";"RES-0402";"_PKG_R_0402";"";"";"";"";"";"";"";"C25744";"";"";"";"";"";"";"";"";"";"";"";
"R20";"100";"RES-0402";"_PKG_R_0402";"";"";"";"";"";"";"";"C25076";"";"";"";"";"";"";"";"";"";"";"";
"R21";"100";"RES-0402";"_PKG_R_0402";"";"";"";"";"";"";"";"C25076";"";"";"";"";"";"";"";"";"";"";"";
"SW1";"SPNO";"PUSHBUTTON-6X6MM";"GENERIC_SPNO_4P_6X6MM";"";"";"";"";"";"";"";"C620316";"";"";"";"";"";"";"";"";"";"";"";
"TP1";"TP";"TP";"TP_DOT_1.5X1.5MM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP2";"TP";"TP";"TP_DOT_1.5X1.5MM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP3";"TP";"TP";"TP_DOT_1.5X1.5MM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP4";"TP";"TP";"TP_DOT_1.5X1.5MM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
