"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R19,R5,R17,R4";"_PKG_R_0402";4;"10k";;;
2;"C2,C15,C14,C12,C9,C13,C6,C11,C16";"_PKG_C_0402";9;"100n";;;
3;"@HOLE3,@HOLE0,@HOLE4,@HOLE2,@HOLE5,@HOLE1,@HOLE6,@HOLE7";"";8;"";;;
4;"CON6";"TF_SHENZHEN-SPECIAL";1;"C111196 - TF-15x15";;;
5;"J6";"CON_2.54MM_TH_2X2";1;"";;;
6;"J4";"CON_2.54MM_TH_2X20";1;"";;;
7;"CON1,CON2";"JING_912-121A2023S10100";2;"";;;
8;"J3,J5";"1X02_LOCK";2;"";;;
9;"SW1";"GENERIC_SPNO_4P_6X6MM";1;"SPNO";;;
10;"CON4";"685119136923";1;"C136421 - HDMI-519";;;
11;"CON5";"LPJG0926HENL";1;"LPJG0926HENL";;;
12;"R18,R21,R12,R3,R11,R8,R20";"_PKG_R_0402";7;"100";;;
13;"C7,C1,C3,C8,C10,C4";"_PKG_C_1206";6;"47u";;;
14;"TP4,TP3,TP2,TP1";"TP_DOT_1.5X1.5MM";4;"TP";;;
15;"R10,R9";"_PKG_R_0402";2;"1k8";;;
16;"R15,R16,R14,R13";"_PKG_R_0402";4;"49.9Ω";;;
17;"LED1";"_PKG_LED_0805";1;"";;;
18;"R7";"_PKG_R_0402";1;"27k 1%";;;
19;"D3,D4";"_PKG_SOD523";2;"RB520S30T1G";;;
20;"D2,D1";"SOT95P280X145-6N";2;"SRV05-4-P-T7";;;
21;"J2";"1X03_LOCK";1;"";;;
22;"CON3";"USBC_C-31-M-12";1;"";;;
23;"C5";"_PKG_C_0402";1;"10n";;;
24;"J1";"1X04_LOCK";1;"";;;
25;"L1";"_PKG_C_0805";1;"FB";;;
26;"R6";"_PKG_R_0402";1;"1k";;;
27;"MOD1";"MCORE-H616_V1";1;"";;;
28;"R1,R2";"_PKG_R_0402";2;"5k1";;;
29;"IC1";"_PKG_SOT223-4_TI-DCY4";1;"LD1117-3.3";;;
