"Part";"Value";"Device";"Package";"Description";"BOM";
"C1";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";
"C2";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C4";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";
"C5";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";
"CONN4";"STEMMA_I2C_QT";"STEMMA_I2C_QT";"JST_SH4";"";"";
"FID1";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"FID2";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"IC1";"LIS3MDL";"LIS3MDL";"LGA12_2X2MM";"Digital output magnetic sensor. ultra-low-power, high-performance 3-axis magnetometer";"";
"JP1";"";"HEADER-1X4ROUND";"1X04_ROUND";"PIN HEADER";"";
"JP2";"";"HEADER-1X12";"1X12_ROUND";"";"";
"JP3";"";"HEADER-1X16ROUND";"1X16_ROUND";"PIN HEADER";"";
"JP4";"";"HEADER-1X4ROUND";"1X04_ROUND";"PIN HEADER";"";
"MAG_HDR";"";"HEADER-1X4ROUND";"1X04_ROUND";"PIN HEADER";"";
"MS1";"FEATHERWING";"FEATHERWING";"FEATHERWING";"";"";
"R1";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"R2";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"R3";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"R4";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"R5";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"R7";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"SJ1";"";"SOLDERJUMPER";"SOLDERJUMPER_ARROW_NOPASTE";"SMD Solder JUMPER";"EXCLUDE";
"SJ2";"";"SOLDERJUMPER";"SOLDERJUMPER_ARROW_NOPASTE";"SMD Solder JUMPER";"EXCLUDE";
"SW1";"KMR2";"SWITCH_TACT_SMT4.6X2.8";"BTN_KMR2_4.6X2.8";"SMT Tact Switches";"";
"U$35";"LSM6DSOX";"LSM6DSOX";"LGA-14L";"";"";
