"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R4";"0603-RES";1;"4.7K";;;
2;"C4";"EIA3216";1;"10uF";;;
3;"JP3";"1X20_LOCK_SPECIAL";1;"M20SPECIAL";;;
4;"R1";"0603-RES";1;"10K";;;
5;"U$2";"2X3";1;"AVR_SPI_PRG_6PTH";;;
6;"JP2";"1X04";1;"";;;
7;"SJ1";"SJ_2S-NOTRACE";1;"SOLDERJUMPERNC2";;;
8;"C2,C1";"0603-CAP";2;"0.1uF";;;
9;"U2";"TQFP32-08";1;"ATMEGA168";;;
10;"R3";"TRIMPOT-3MM";1;"TRIMPOTSMD";;;
11;"Y1";"RESONATOR-SMD";1;"RESONATORSMD";;;
12;"U1";"SOT23-5";1;"V_REG_LDOSMD";;;
13;"LOGO3";"OSHW-LOGO-S";1;"OSHW-LOGOS";;;
14;"U$10,U$9";"FIDUCIAL-1X2";2;"FIDUCIAL1X2";;;
15;"FRAME1";"CREATIVE_COMMONS";1;"FRAME-LETTER";;;
16;"Q1";"SOT23-3";1;"TRANSISTOR_PNPSMD";;;
17;"U$8,LOGO2";"SFE-NEW-WEBLOGO";2;"LOGO-SFENEW";;;
18;"JP1";"1X04-SMD";1;"";;;
19;"R2";"0603-RES";1;"330";;;
20;"LOGO1";"OSHW-LOGO-L";1;"OSHW-LOGOL";;;
21;"TP2";"PAD.03X.05";1;"TXD";;;
22;"TP1";"PAD.03X.05";1;"RXD";;;
23;"TP3";"PAD.03X.05";1;"VIN";;;
24;"JP4";"2X10_LOCK_SPECIAL";1;"M10X2SPECIAL";;;
