Pinlist

Exported from boardEagle.brd at 20/08/2022 21:50

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Part     Pad      Net

GND      1        ALLNET

JP1      1        ALLNET

JP2      1        ALLNET

JP3      1        ALLNET

JP4      1        ALLNET

JP5      1        ALLNET

JP6      1        ALLNET

JP7      1        ALLNET

JP8      1        ALLNET

JP9      1        ALLNET

JP10     1        ALLNET

JP11     1        ALLNET

JP12     1        ALLNET

JP13     1        ALLNET

JP14     1        ALLNET

JP15     1        ALLNET

JP16     1        ALLNET

JP17     1        ALLNET

JP18     1        ALLNET

JP19     1        ALLNET

JP20     1        ALLNET

JP21     1        ALLNET

JP22     1        ALLNET

U$2     
U$4      1        ALLNET

U$30     1        ALLNET

U$31     1        ALLNET

U$32     1        ALLNET

U$33     1        ALLNET

U$34     1        ALLNET

U$35     1        ALLNET

U$36     1        ALLNET

U$37     1        ALLNET

U$38     1        ALLNET

U$39     1        ALLNET

U$40     1        ALLNET

U$41     1        ALLNET

U$42     1        ALLNET

U$43     1        ALLNET

U$44     1        ALLNET

U$45     1        ALLNET

U$46     1        ALLNET

U$47     1        ALLNET

U$48     1        ALLNET

U$51     1        ALLNET

