"Part";"Value";"Device";"Package";"Description";"BOM";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"MF";"MP";"PACKAGE";"POPULARITY";"PURCHASE-URL";"TP_SIGNAL_NAME";
"C1";"22uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";
"C2";"1uF";"CAP_CERAMIC_0402NO";"_0402NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";
"C3";"1uF";"CAP_CERAMIC_0402NO";"_0402NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";
"C4";"0.1uF";"CAP_CERAMIC_0402NO";"_0402NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";
"C5";"1uF";"CAP_CERAMIC_0402NO";"_0402NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";
"C6";"22uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";
"C7";"TBD";"CAP_CERAMIC_0402NO";"_0402NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";
"C8";"22uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";
"C9";"TBD";"CAP_CERAMIC_0402NO";"_0402NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";
"C10";"0.1uF";"CAP_CERAMIC_0402NO";"_0402NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";
"C11";"0.1uF";"CAP_CERAMIC_0402NO";"_0402NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";
"C12";"0.1uF";"CAP_CERAMIC_0402NO";"_0402NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";
"C13";"1uF";"CAP_CERAMIC_0402NO";"_0402NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";
"C14";"0.1uF";"CAP_CERAMIC_0402NO";"_0402NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";
"C15";"1uF";"CAP_CERAMIC_0402NO";"_0402NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";
"C16";"0.1uF";"CAP_CERAMIC_0402NO";"_0402NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";
"C17";"16pF";"CAP_CERAMIC_0402NO";"_0402NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";
"C18";"16pF";"CAP_CERAMIC_0402NO";"_0402NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";
"C19";"1uF";"CAP_CERAMIC_0402NO";"_0402NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";
"C20";"1uF";"CAP_CERAMIC_0402NO";"_0402NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";
"CONN1";"STEMMA_I2C_QTSKINNY";"STEMMA_I2C_QTSKINNY";"JST_SH4_SKINNY";"";"";"";"";"";"";"";"";"";"";
"D1";"  NSR0320";"DIODE_SOD323MINI";"SOD-323_MINI";"Diode";"";"";"";"";"";"";"";"";"";
"D2";"  NSR0320";"DIODE_SOD323MINI";"SOD-323_MINI";"Diode";"";"";"";"";"";"";"";"";"";
"GND";"";"TESTPOINT_MINUS";"TESTPOINT_MINUS_1X3MM";"Test Point";"";"";"";"";"";"";"";"";"";
"JP1";"";"HEADER-1X7_CASTEL";"1X07_CASTEL";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"JP3";"";"HEADER-1X7_CASTEL";"1X07_CASTEL";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"L1";"2nH";"RESISTOR_0402NO";"_0402NO";"Resistors";"";"";"";"";"";"";"";"";"";
"L2";"0 ohm";"INDUCTOR_0402";"_0402";"Inductors";"";"";"";"";"";"";"";"";"";
"LED1";"WS2812B_SK6805_1515";"WS2812B_SK6805_1515";"SK6805_1515";"";"";"";"";"";"";"";"";"";"";
"Q1";"BOOT0";"SWITCH_TACT_SMT4.6X2.8";"BTN_KMR2_4.6X2.8";"SMT Tact Switches";"";"";"";"";"";"";"";"";"";
