"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U$15,U$17";"MOUNTINGHOLE_2.5_PLATED";2;"MOUNTINGHOLE2.5";;;
2;"U2";"SOT23-5";1;"MIC5225-3.3";;;
3;"C7,C6";"0805-NO";2;"20pF";;;
4;"C2,C3";"0805-NO";2;"0.47uF";;;
5;"R2,R4";"_0805MP";2;"10K";;;
6;"D1,D2";"SOD-323";2;"1n4148";;;
7;"X3";"4UCONN_19269";1;"3.5mm stereo";;;
8;"U$7";"ADAFRUIT_3.5MM";1;"";;;
9;"Y2";"CRYSTAL_8X3.8";1;"32.768";;;
10;"U1";"SI471X";1;"Si471x";;;
11;"Q2,Q1";"SOT23";2;"BSS138";;;
12;"R6,R3,R5,R1";"0805-NO";4;"10K";;;
13;"FID1,FID2";"FIDUCIAL_1MM";2;"FIDUCIAL""";;;
14;"ANT0";"1X01";1;"";;;
15;"L1";"_0805";1;"120nH";;;
16;"C4,C5";"0805-NO";2;"10uF";;;
17;"C1";"0805-NO";1;"22nF";;;
18;"JP1";"1X11_ROUND";1;"";;;
19;"U$9";"ADAFRUIT_TEXT_20MM";1;"";;;
