"Part";"Value";"Device";"Package";"Description";"POPULARITY";
"JP1";"";"PINHD-2X3";"2X03";"PIN HEADER";"62";
"LED1";"";"LED3MM";"LED3MM";"LED";"97";
"LED2";"";"LED10MM";"LED10MM";"LED";"2";
"LED3";"";"LED3MM";"LED3MM";"LED";"97";
"LED4";"";"LED3MM";"LED3MM";"LED";"97";
"LED5";"";"LED3MM";"LED3MM";"LED";"97";
"LED6";"";"LED3MM";"LED3MM";"LED";"97";
"LED7";"";"LED3MM";"LED3MM";"LED";"97";
"LED8";"";"LED3MM";"LED3MM";"LED";"97";
"LED9";"";"LED3MM";"LED3MM";"LED";"97";
"LED10";"";"LED3MM";"LED3MM";"LED";"97";
"LED11";"";"LED3MM";"LED3MM";"LED";"97";
"LED12";"";"LED3MM";"LED3MM";"LED";"97";
"LED13";"";"LED3MM";"LED3MM";"LED";"97";
"LED14";"";"LED3MM";"LED3MM";"LED";"97";
"LED15";"";"LED3MM";"LED3MM";"LED";"97";
"LED16";"";"LED3MM";"LED3MM";"LED";"97";
"LED17";"";"LED3MM";"LED3MM";"LED";"97";
"LED18";"";"LED10MM";"LED10MM";"LED";"2";
"R1";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R2";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R3";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R4";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R5";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R6";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R7";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R8";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R9";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R10";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R11";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R12";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R13";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R14";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R15";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R16";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R17";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R18";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"S1";"";"255SB";"255SB";"SLIDING SWITCH";"11";
