"Part";"Value";"Device";"Package";"Description";"PROD_ID";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame";"";
"JP1";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP2";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP3";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP4";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP5";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP6";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP7";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP8";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP9";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP10";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP11";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP12";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP13";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP14";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP15";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP16";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP17";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP18";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP19";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP20";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP21";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP22";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP23";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP24";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP25";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP26";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP27";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP28";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP29";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP30";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP31";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP32";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP33";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP34";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP35";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP36";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP37";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP38";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP39";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP40";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP41";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP42";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP43";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP44";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP45";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP46";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP47";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP48";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP49";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP50";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP51";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP52";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP53";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP54";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP55";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP56";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP57";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
