"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"SF_ID";"VALUE";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";"";
"J1";"U.FL";"U.FL2PIN";"U.FL";"SMD Antenna Connector - U.FL";"";"CONN-09193";"";"WRL-09144";"U.FL";
"J2";"U.FL";"U.FL2PIN";"U.FL";"SMD Antenna Connector - U.FL";"";"CONN-09193";"";"WRL-09144";"U.FL";
"J3";"U.FL";"U.FL2PIN";"U.FL";"SMD Antenna Connector - U.FL";"";"CONN-09193";"";"WRL-09144";"U.FL";
"J4";"U.FL";"U.FL2PIN";"U.FL";"SMD Antenna Connector - U.FL";"";"CONN-09193";"";"WRL-09144";"U.FL";
"J5";"U.FL";"U.FL2PIN";"U.FL";"SMD Antenna Connector - U.FL";"";"CONN-09193";"";"WRL-09144";"U.FL";
"J6";"U.FL";"U.FL2PIN";"U.FL";"SMD Antenna Connector - U.FL";"";"CONN-09193";"";"WRL-09144";"U.FL";
"JP5";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"JP6";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"JP8";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"JP9";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"LOGO1";"SFE_LOGO_FLAME.1EXP";"SFE_LOGO_FLAME.1EXP";"SFE_LOGO_FLAME_COPPER_EXPOSED_.1";"SparkFun Flame Logo";"";"";"";"";"";
"LOGO2";"SFE_LOGO_FLAME.1EXP";"SFE_LOGO_FLAME.1EXP";"SFE_LOGO_FLAME_COPPER_EXPOSED_.1";"SparkFun Flame Logo";"";"";"";"";"";
"LOGO3";"SFE_LOGO_FLAME.1EXP";"SFE_LOGO_FLAME.1EXP";"SFE_LOGO_FLAME_COPPER_EXPOSED_.1";"SparkFun Flame Logo";"";"";"";"";"";
"LOGO4";"SFE_LOGO_FLAME.1EXP";"SFE_LOGO_FLAME.1EXP";"SFE_LOGO_FLAME_COPPER_EXPOSED_.1";"SparkFun Flame Logo";"";"";"";"";"";
"LOGO5";"SFE_LOGO_FLAME.1EXP";"SFE_LOGO_FLAME.1EXP";"SFE_LOGO_FLAME_COPPER_EXPOSED_.1";"SparkFun Flame Logo";"";"";"";"";"";
"LOGO6";"SFE_LOGO_FLAME.1EXP";"SFE_LOGO_FLAME.1EXP";"SFE_LOGO_FLAME_COPPER_EXPOSED_.1";"SparkFun Flame Logo";"";"";"";"";"";
"R1";"0";"0OHM-0402-1/10W";"0402";"0Ω resistor";"";"RES-14244";"";"";"0";
"U$16";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";
"Y2";"PUCK";"GPS_CHIP_ANTENNAPUCK";"TE_PUCK";"";"";"ANT-14308";"";"";"";
"Y3";"CUBE";"GPS_CHIP_ANTENNACUBE";"MOLEX_GNSS_CUBE";"";"";"ANT-14307";"";"";"";
"Y4";"CHIP";"GPS_CHIP_ANTENNA2042830001";"MOLEX_GNSS_CHIP";"";"";"ANT-14306";"";"";"";
"Y5";"MOLDED";"GPS_CHIP_ANTENNA_NOGNDMOLDED";"MLOEX_GNSS_MOLDED";"";"";"ANT-14303";"";"";"";
"Y6";"W3062A";"GPS_CHIP_ANTENNAW3062A";"W3062A";"";"";"ANT-14305";"";"";"";
"Y7";"W3011";"GPS_CHIP_ANTENNAW3011";"W3011";"";"";"ANT-14304";"";"";"";
