"Part";"Value";"Device";"Package";"Description";"SPICEPREFIX";
"C1";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"C";
"C2";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C3";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C4";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C5";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"C";
"C6";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C7";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C8";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C9";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C10";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C11";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C12";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C13";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C14";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C15";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C16";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C17";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C18";"22pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C19";"1uF";"CPOL-EUSMCA";"SMC_A";"POLARIZED CAPACITOR, European symbol";"";
"C20";"22pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C21";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C22";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C23";"10uF";"CAPACITOR_NPOL-0603";"C603";"Non-Polarized capacitor in various packages";"";
"C24";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"C";
"C25";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C26";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"C";
"C27";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C28";"1uf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C29";"1uF";"CAPACITOR_NPOL-0603";"C603";"Non-Polarized capacitor in various packages";"";
"C30";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C31";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C32";"0.1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C33";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C34";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C35";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C36";"0.1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C37";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C38";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C39";"1uf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C40";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C41";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C42";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C43";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C44";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C45";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C46";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C47";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C48";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C49";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C50";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C51";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C52";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C53";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C54";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C55";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C56";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C57";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C58";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C59";"0.1uF";"CAPACITOR_NPOL-0402";"C402";"Non-Polarized capacitor in various packages";"";
"C60";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C61";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C62";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C63";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C64";"10uF";"CPOL-EUSMCA";"SMC_A";"POLARIZED CAPACITOR, European symbol";"";
"CON1";"USB-C-12";"USB-C-12";"C-31-M-12";"";"";
"D1";"";"DIODE-SOD-123";"SOD-123";"Various Diode Packages";"";
"IC1";"SN74LVC1T45DBV";"IC_BUFF_SN74LVC1T45DBV-EXTENDED";"SC-70-6_EXTENDED_PADS";"";"";
"IC2";"SN74LVC1T45DBV";"IC_BUFF_SN74LVC1T45DBV-EXTENDED";"SC-70-6_EXTENDED_PADS";"";"";
"IC3";"SN74LVC1T45DBV";"IC_BUFF_SN74LVC1T45DBV-EXTENDED";"SC-70-6_EXTENDED_PADS";"";"";
"IC4";"SN74LVC1T45DBV";"IC_BUFF_SN74LVC1T45DBV-EXTENDED";"SC-70-6_EXTENDED_PADS";"";"";
"IC5";"SN74LVC1T45DBV";"IC_BUFF_SN74LVC1T45DBV-EXTENDED";"SC-70-6_EXTENDED_PADS";"";"";
"IC6";"SN74LVC1T45DBV";"IC_BUFF_SN74LVC1T45DBV-EXTENDED";"SC-70-6_EXTENDED_PADS";"";"";
"IC7";"SN74LVC1T45DBV";"IC_BUFF_SN74LVC1T45DBV-EXTENDED";"SC-70-6_EXTENDED_PADS";"";"";
"IC8";"SN74LVC1T45DBV";"IC_BUFF_SN74LVC1T45DBV-EXTENDED";"SC-70-6_EXTENDED_PADS";"";"";
"IC9";"23LC1024";"IC_MEM_23LC1024";"SOIC-8";"1Mbit SPI SRAM with Serial dual interface and Serial quad interface";"";
"IC10";"23LC1024";"IC_MEM_23LC1024";"SOIC-8";"1Mbit SPI SRAM with Serial dual interface and Serial quad interface";"";
"IC11";"74HCT4051";"IC_74HCT4051";"TSSOP-16";"74HCT4051";"";
"IC12";"MCP1824_ADJ";"IC_MCP1824_ADJ";"SOT-23-5";"MCP1824 ADJ";"";
"J1";"CON_HEADER_1X04";"CON_HEADER_1X04";"M1X4";"";"";
"J2";"CON_HEADER_1X10-RIGHT_ANGLED_PTH_SHROUDED";"CON_HEADER_1X10-RIGHT_ANGLED_PTH_SHROUDED";"M1X10_MALE_RIGHT_ANGLES_PTH_SHROUDED";"";"";
"J3";"CON_MOLEX_MALE_SMT_SH_1.25";"CON_MOLEX_MALE_SMT_SH_1.25";"MOLEX_533980771";"Molex 1.25mm PicoBlade Header vertical SMT 10 circuits p/n: 533980771";"";
"L1";"1.5A";"WE-KIL_0805";"WE-KI_0805_B";"SMD Wire Wound Ceramic Inductor WE-KIL";"";
"LED1";"Optional YELLOW";"LED-0805";"LED-805";"Light Emitting Diode";"";
"LED2";"YELLOW";"LED-0805";"LED-805";"Light Emitting Diode";"";
"LED3";"YELLOW";"LED-0805";"LED-805";"Light Emitting Diode";"";
"LED4";"Optional YELLOW";"LED-0805";"LED-805";"Light Emitting Diode";"";
"LED5";"YELLOW";"LED-0805";"LED-805";"Light Emitting Diode";"";
"LED6";"Optional YELLOW";"LED-0805";"LED-805";"Light Emitting Diode";"";
"LED7";"YELLOW";"LED-0805";"LED-805";"Light Emitting Diode";"";
"LED8";"Optional YELLOW";"LED-0805";"LED-805";"Light Emitting Diode";"";
