Partlist

Exported from boardEagle.brd at 15/10/2022 22:27

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value                                     Package                              Library           Position (mil)        Orientation

C1       0.1uF                                     C0402                                rcl               (3120 1780)           R0
C2       0.1uF                                     C0402                                resistor          (2760 1780)           R0
C3       0.1uF                                     C0402                                resistor          (3125 1450)           R0
C4       0.1uF                                     C0402                                resistor          (2760 1450)           R0
C5       0.1uF                                     C0402                                rcl               (3320 1715)           R90
C6       0.1uF                                     C0402                                resistor          (2960 1715)           R90
C7       0.1uF                                     C0402                                resistor          (3325 1380)           R90
C8       0.1uF                                     C0402                                resistor          (2960 1385)           R90
C9       0.1uF                                     C0402                                resistor          (3120 650)            R180
C10      0.1uF                                     C0402                                resistor          (2690 650)            R180
C11      0.1uF                                     C0402                                resistor          (3100 305)            R180
C12      0.1uF                                     C0402                                resistor          (2640 260)            R270
C13      0.1uF                                     C0402                                resistor          (3250 650)            R180
C14      0.1uF                                     C0402                                resistor          (2930 650)            R0
C15      0.1uF                                     C0402                                resistor          (3240 305)            R0
C16      0.1uF                                     C0402                                resistor          (2840 305)            R0
C17      0.1uF                                     C0603                                rcl               (510 660)             MR180
C18      22pF                                      C0603                                rcl               (508.11024 740)       MR0
C19      1uF                                       SMC_A                                rcl               (520 565)             MR0
C20      22pF                                      C0603                                rcl               (506.88976 940)       MR0
C21      0.1uF                                     C0603                                rcl               (746.88976 1185)      MR0
C22      0.1uF                                     C0603                                rcl               (1050 1681.88976)     R270
C23      10uF                                      C603                                 dp_devices.v6     (160 500)             R180
C24                                                C0603                                rcl               (360 130)             R180
C25      0.1uF                                     C0603                                rcl               (2480 440)            MR90
C26      0.1uF                                     C0603                                rcl               (500 240)             R270
C27      0.1uF                                     C0603                                rcl               (3030 1040)           R180
C28      1uf                                       C0603                                rcl               (1600 1431.88976)     R0
C29      1uF                                       C603                                 dp_devices.v6     (535 460)             R270
C30      0.1uF                                     C0603                                rcl               (2000 1550)           R270
C31      0.1uF                                     C0603                                rcl               (2080 1550)           R270
C32      0.1uF                                     C402                                 dp_devices.v6     (1615 775)            R180
C33      0.1uF                                     C0603                                rcl               (2170 1600)           R270
C34      0.1uF                                     C0603                                rcl               (1594 1184)           R90
C35      0.1uF                                     C0603                                rcl               (2435 1465)           MR270
C36      0.1uF                                     C402                                 dp_devices.v6     (1615 825)            R180
C37      0.1uF                                     C0603                                rcl               (1875 195)            R270
C38      1uF                                       C0603                                rcl               (1955 195)            R270
C39      1uf                                       C0603                                rcl               (1625 550)            R180
C40      0.1uF                                     C0603                                rcl               (3305 1850)           R180
C41      0.1uF                                     C0603                                rcl               (3355 250)            R270
C42      0.1uF                                     C0603                                rcl               (1420 456.88976)      R90
C43      0.1uF                                     C0603                                rcl               (2110 440)            R90
C44      0.1uF                                     C0603                                rcl               (1425 1481.88976)     R270
C45      0.1uF                                     C0603                                rcl               (2570 1330)           MR0
C46      0.1uF                                     C0603                                rcl               (745 1376.88976)      MR0
C47      0.1uF                                     C0603                                rcl               (2570 1175)           MR0
C48      0.1uF                                     C0603                                rcl               (2195 440)            R90
C49      0.1uF                                     C0603                                rcl               (658.11024 445)       R90
C50      0.1uF                                     C0603                                rcl               (2570 935)            MR0
C51      0.1uF                                     C0603                                rcl               (1920 410)            R90
C52      0.1uF                                     C0603                                rcl               (746.88976 1015)      MR0
C53      0.1uF                                     C0603                                rcl               (1675 1750)           R180
C54      0.1uF                                     C0603                                rcl               (2570 1020)           MR0
C55      0.1uF                                     C0603                                rcl               (1840 410)            R90
C56      0.1uF                                     C0603                                rcl               (985 460)             R90
C57      0.1uF                                     C0603                                rcl               (1175 460)            R90
C58      0.1uF                                     C0603                                rcl               (2115 1750)           R180
C59      0.1uF                                     C402                                 dp_devices.v6     (1520 800)            R270
C60      0.1uF                                     C0603                                rcl               (1530 1006.88976)     R90
C61      0.1uF                                     C0603                                rcl               (2800 1060)           MR0
C62      0.1uF                                     C0603                                rcl               (1130 1531.88976)     R270
C63      0.1uF                                     C0603                                rcl               (1050 1531.88976)     R270
C64      10uF                                      SMC_A                                rcl               (290 668.11024)       R90
CON1     USB-C-12                                  C-31-M-12                            usbc              (184.64567 984.25197) R270
D1                                                 SOD-123                              dp_devices.v6     (2200 175)            R270
IC1      SN74LVC1T45DBV                            SC-70-6_EXTENDED_PADS                dp_devices.v6     (3185 1695)           R270
IC2      SN74LVC1T45DBV                            SC-70-6_EXTENDED_PADS                dp_devices.v6     (2825 1695)           R270
IC3      SN74LVC1T45DBV                            SC-70-6_EXTENDED_PADS                dp_devices.v6     (3190 1365)           R270
IC4      SN74LVC1T45DBV                            SC-70-6_EXTENDED_PADS                dp_devices.v6     (2825 1365)           R270
IC5      SN74LVC1T45DBV                            SC-70-6_EXTENDED_PADS                dp_devices.v6     (3185 570)            R270
IC6      SN74LVC1T45DBV                            SC-70-6_EXTENDED_PADS                dp_devices.v6     (2850 570)            R270
IC7      SN74LVC1T45DBV                            SC-70-6_EXTENDED_PADS                dp_devices.v6     (3185 230)            R270
IC8      SN74LVC1T45DBV                            SC-70-6_EXTENDED_PADS                dp_devices.v6     (2770 230)            R270
IC9      23LC1024                                  SOIC-8                               dp_devices        (1850 1650)           R0
IC10     23LC1024                                  SOIC-8                               dp_devices        (2320 1655)           R0
IC11     74HCT4051                                 TSSOP-16                             dp_devices.v6     (3220 925)            R0
IC12     MCP1824_ADJ                               SOT-23-5                             dp_devices.v6     (340 465)             R270
J1       CON_HEADER_1X04                           M1X4                                 dp_devices.v6     (1100 1825)           R0
J2       CON_HEADER_1X10-RIGHT_ANGLED_PTH_SHROUDED M1X10_MALE_RIGHT_ANGLES_PTH_SHROUDED dp_devices.v6     (3668.70079 984.25197) R270
J3       CON_MOLEX_MALE_SMT_SH_1.25                MOLEX_533980771                      dp_devices.v6     (940 225)             R0
L1       1.5A                                      WE-KI_0805_B                         wuerth-elektronik (185 668.11024)       R90
LED1     Optional YELLOW                           LED-805                              dp_devices.v6     (787.40157 1850.3937) MR270
LED2     YELLOW                                    LED-805                              dp_devices.v6     (787.40157 1850.3937) R90
LED3     YELLOW                                    LED-805                              dp_devices.v6     (2362.20472 1850.3937) R270
LED4     Optional YELLOW                           LED-805                              dp_devices.v6     (2362.20472 1850.3937) MR90
LED5     YELLOW                                    LED-805                              dp_devices.v6     (3149.6063 1850.3937) R270
LED6     Optional YELLOW                           LED-805                              dp_devices.v6     (3149.6063 1850.3937) MR90
LED7     YELLOW                                    LED-805                              dp_devices.v6     (1574.80315 1850.3937) R90
