Partlist

Exported from boardEagle.brd at 19/08/2022 21:28

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value           Package                                         Library                    Position (inch)       Orientation

C1       0.1uF           0603-CAP                                        SparkFun-Capacitors        (0.975 1.775)         R180
C2       0.1uF           0603-CAP                                        SparkFun-Capacitors        (1.05 0.75)           R270
C3       10uF            EIA3216                                         SparkFun-Capacitors        (0.95 0.75)           R90
C4       0.1uF           0603-CAP                                        SparkFun-Capacitors        (0.5 1.675)           R270
C5       10uF            EIA3216                                         SparkFun-Capacitors        (1.075 0.55)          R90
C6       0.1uF           0603-CAP                                        SparkFun-Capacitors        (1.9 0.95)            R90
C7       10uF            EIA3216                                         SparkFun-Capacitors        (1.4 1.1)             R270
C8       0.1uF           0603-CAP                                        SparkFun-Capacitors        (1.5 1.125)           R90
C9       22pF            0603-CAP                                        SparkFun-Capacitors        (1.225 0.65)          R0
C10      22pF            0603-CAP                                        SparkFun-Capacitors        (1.1 0.9)             R270
C11      0.1uF           0603-CAP                                        SparkFun-Capacitors        (1.95 0.95)           R270
C12      10nF            0603-CAP                                        SparkFun-Capacitors        (2 0.75)              R180
C13      47nF            0603-CAP                                        SparkFun-Capacitors        (2.05 0.825)          R0
C14      10nF            0603-CAP                                        SparkFun-Capacitors        (1.925 1.15)          R180
C15      10uF            0603-CAP                                        SparkFun-Capacitors        (1.675 0.375)         R90
C16      10uF            0603-CAP                                        SparkFun-Capacitors        (2.2 0.375)           R270
F1       PTC             PTC-1206                                        SparkFun-PowerIC           (1.2 0.525)           R90
J1       POWER_JACKTOE   POWER_JACK_SMD_OVERPASTE_TOE                    SparkFun-Connectors        (0.7 0.13)            R90
JP2      AUDIO-JACK      AUDIO-JACK-3.5MM-SMD                            SparkFun-Connectors        (1.9 0)               R90
JP3      FTDI Basic      1X06                                            SparkFun                   (2.1 1.05)            R90
JP5      TestPoints      1X02                                            SparkFun                   (0.65 0.41)           MR180
JP6      FIDUCIAL1X2     FIDUCIAL-1X2                                    SparkFun-Aesthetics        (0.234 2.233)         R0
JP7      FIDUCIAL1X2     FIDUCIAL-1X2                                    SparkFun-Aesthetics        (2.075 0.6)           R0
JP9      ISSP            1X05                                            SparkFun                   (1.15 1.5)            R0
LED1     RED             LED-1206                                        SparkFun-LED               (2.15 2.05)           R180
