"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"SF_SKU";"SKU";"VALUE";
"C1";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"CAP-11015";"";"";"";"10uF";
"C2";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"";"";"0.1uF";
"C3";"10pF";"10PF-0603-50V-5%";"0603";"10pF ceramic capacitors";"CAP-11812";"";"";"";"10pF";
"C4";"10pF";"10PF-0603-50V-5%";"0603";"10pF ceramic capacitors";"CAP-11812";"";"";"";"10pF";
"C5";"1.0uF";"1.0UF-0805-25V-(+80/-20%)";"0805";"1µF ceramic capacitors";"CAP-11625";"";"";"";"1.0uF";
"C6";"2.2uF";"2.2UF-0603-10V-20%";"0603";"2.2µF ceramic capacitors";"CAP-07888";"";"";"";"2.2uF";
"C7";"5.6PF";"5.6PF-0603-50V-5%";"0603";"5.6pF ceramic capacitors";"CAP-12456";"";"";"";"5.6PF";
"C8";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"";"";"0.1uF";
"C9";"47pF";"47PF-0603-50V-5%";"0603";"47pF ceramic capacitors";"CAP-08913";"";"";"";"47pF";
"C10";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"";"";"0.1uF";
"C11";"47pF";"47PF-0603-50V-5%";"0603";"47pF ceramic capacitors";"CAP-08913";"";"";"";"47pF";
"C12";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"";"";"0.1uF";
"C13";"10uF";"10UF-POLAR-EIA3216-16V-10%(TANT)";"EIA3216";"10.0µF polarized capacitors";"CAP-00811";"";"";"";"10uF";
"C14";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"";"";"0.1uF";
"D1";"1A/23V/620mV";"DIODE-SCHOTTKY-BAT20J";"SOD-323";"Schottky diode";"DIO-11623";"";"";"";"1A/23V/620mV";
"D2";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"DIO-00819";"";"";"";"RED";
"D3";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"DIO-08575";"";"";"";"BLUE";
