"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U$3,U$2,U$4,U$5";"1X23";4;"M23";;;
2;"FRAME1";"CREATIVE_COMMONS";1;"FRAME-LETTER";;;
3;"R5,R2,R3,R1,R4";"0603@1";5;"4.7k";;;
4;"D2,D1";"LED-0603";2;"RED";;;
5;"U$1";"BEAGLE_BONE_BLACK_CAPE";1;"BEAGLE_BONE_BLACK_CAPE";;;
6;"C1";"0603-CAP";1;"0.1uF";;;
7;"FID2,FID1";"FIDUCIAL-1X2";2;"FIDUCIAL1X2";;;
8;"R6";"0603-RES";1;"10k";;;
9;"SJ5";"SMT-JUMPER_2_NO_SILK";1;"WP";;;
10;"R7,R8";"0603-RES";2;"1K";;;
11;"SJ4";"SMT-JUMPER_2_NO_SILK";1;"A0";;;
12;"SJ1";"SMT-JUMPER_3_2-NC_PASTE_SILK";1;"I2C EN";;;
13;"JP1,JP2";"1X01";2;"M01PTH";;;
14;"U1";"SO08";1;"EEPROM-I2CSMD";;;
15;"LOGO2";"OSHW-LOGO-S";1;"OSHW-LOGOS";;;
16;"SJ3";"SMT-JUMPER_2_NO_SILK";1;"A1";;;
17;"LOGO3";"SFE_LOGO_NAME_FLAME_.1";1;"SFE_LOGO_NAME_FLAME.1_INCH";;;
18;"U$6";"SFE_LOGO_NAME_FLAME_.1";1;"";;;
