"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"SF_ID";"VALUE";"VERSION";
"C1";"0.22uF";"0.22UF50V-20%,+80%(0603)";"0603-CAP";"CAP-09885";"";"CAP-09885";"";"0.22uF";"";
"C2";"0.1uF";"0.1UF-100V-10%(0603)";"0603-CAP";"CAP-08390";"";"CAP-08390";"";"0.1uF";"";
"C3";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C4";"1.0uF";"1.0UF50V10%(1206)";"1206-CAP";"CAP-09822";"";"";"";"";"";
"C5";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C6";"0.22uF";"0.22UF50V-20%,+80%(0603)";"0603-CAP";"CAP-09885";"";"CAP-09885";"";"0.22uF";"";
"C7";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C8";"0.22uF";"0.22UF50V-20%,+80%(0603)";"0603-CAP";"CAP-09885";"";"CAP-09885";"";"0.22uF";"";
"C9";"10nF";"10NF/10000PF-50V-10%(0603)";"0603-CAP";"CAP-00867";"";"CAP-00867";"";"10nF";"";
"C10";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C11";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C12";"1nF";"1NF/1000PF-50V-10%(0603)";"0603-CAP";"CAP-07886";"";"CAP-07886";"";"1nF";"";
"C13";"1nF";"1NF/1000PF-50V-10%(0603)";"0603-CAP";"CAP-07886";"";"CAP-07886";"";"1nF";"";
"C14";"47uF";"47UF-50V-20%(ELECT)";"PANASONIC_D";"CAP-10547";"";"CAP-10547";"";"";"";
"C15";"0.18uF";"0.18UF-10V(+-10%)(0603)";"0603";"";"";"CAP-12380";"";"";"";
"C16";"0.22uF";"0.22UF50V-20%,+80%(0603)";"0603-CAP";"CAP-09885";"";"CAP-09885";"";"0.22uF";"";
"C17";"0.22uF";"0.22UF50V-20%,+80%(0603)";"0603-CAP";"CAP-09885";"";"CAP-09885";"";"0.22uF";"";
"C18";"0.22uF";"0.22UF50V-20%,+80%(0603)";"0603-CAP";"CAP-09885";"";"CAP-09885";"";"0.22uF";"";
"C19";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C20";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C21";"1nF";"1NF/1000PF-50V-10%(0603)";"0603-CAP";"CAP-07886";"";"CAP-07886";"";"1nF";"";
"C22";"1nF";"1NF/1000PF-50V-10%(0603)";"0603-CAP";"CAP-07886";"";"CAP-07886";"";"1nF";"";
"C23";"47uF";"47UF-50V-20%(ELECT)";"PANASONIC_D";"CAP-10547";"";"CAP-10547";"";"";"";
"C24";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C25";"47uF";"47UF-50V-20%(ELECT)";"PANASONIC_D";"CAP-10547";"";"CAP-10547";"";"";"";
"C26";"47uF";"47UF-50V-20%(ELECT)";"PANASONIC_D";"CAP-10547";"";"CAP-10547";"";"";"";
"C27";"0.22uF";"0.22UF50V-20%,+80%(0603)";"0603-CAP";"CAP-09885";"";"CAP-09885";"";"0.22uF";"";
"C28";"0.22uF";"0.22UF50V-20%,+80%(0603)";"0603-CAP";"CAP-09885";"";"CAP-09885";"";"0.22uF";"";
"C29";"0.22uF";"0.22UF50V-20%,+80%(0603)";"0603-CAP";"CAP-09885";"";"CAP-09885";"";"0.22uF";"";
"C30";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C31";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C32";"0.18uF";"0.18UF-10V(+-10%)(0603)";"0603";"";"";"CAP-12380";"";"";"";
"C33";"1nF";"1NF/1000PF-50V-10%(0603)";"0603-CAP";"CAP-07886";"";"CAP-07886";"";"1nF";"";
"C34";"1nF";"1NF/1000PF-50V-10%(0603)";"0603-CAP";"CAP-07886";"";"CAP-07886";"";"1nF";"";
"C35";"47uF";"47UF-50V-20%(ELECT)";"PANASONIC_D";"CAP-10547";"";"CAP-10547";"";"";"";
"C36";"0.18uF";"0.18UF-10V(+-10%)(0603)";"0603";"";"";"CAP-12380";"";"";"";
"C37";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C38";"47uF";"47UF-50V-20%(ELECT)";"PANASONIC_D";"CAP-10547";"";"CAP-10547";"";"";"";
"C39";"22uF";"22UF-16V-20%-(1210)";"1210";"CAP-10381";"";"CAP-10381";"";"22uF";"";
"C40";"47uF";"47UF-50V-20%(ELECT)";"PANASONIC_D";"CAP-10547";"";"CAP-10547";"";"";"";
"C41";"47uF";"47UF-50V-20%(ELECT)";"PANASONIC_D";"CAP-10547";"";"CAP-10547";"";"";"";
"C42";"1.0uF";"1.0UF50V10%(1206)";"1206-CAP";"CAP-09822";"";"";"";"";"";
"C43";"0.1uF";"0.1UF-100V-10%(0603)";"0603-CAP";"CAP-08390";"";"CAP-08390";"";"0.1uF";"";
"C44";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C45";"0.1uF";"0.1UF-100V-10%(0603)";"0603-CAP";"CAP-08390";"";"CAP-08390";"";"0.1uF";"";
"C46";"0.1uF";"0.1UF-100V-10%(0603)";"0603-CAP";"CAP-08390";"";"CAP-08390";"";"0.1uF";"";
"C47";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C50";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C51";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C52";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C53";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
