"Part";"Value";"Device";"Package";"Description";"";
"C1";"1uF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";
"DATA_INPUT";"SEWTAP0.5IN";"SEWTAP0.5IN";"SEWINGTAP_0.5";"";"";
"DATA_OUTPUT";"SEWTAP0.5IN";"SEWTAP0.5IN";"SEWINGTAP_0.5";"";"";
"GND";"SEWTAP0.5IN";"SEWTAP0.5IN";"SEWINGTAP_0.5";"";"";
"IC2";"WS2811-SOP8";"WS2811-SOP8";"SO08-SKINNYPADS";"";"";
"LED2";"RGBLED5050";"RGBLED5050";"RGBLED5050";"For 5050 RGB LEDs, the order of the LEDs may vary from one manufacturer to another!";"";
"R1";"1.0K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R2";"22";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R3";"22";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"VDD";"SEWTAP0.5IN";"SEWTAP0.5IN";"SEWINGTAP_0.5";"";"";
