"Part";"Value";"Device";"Package";"Description";"BOM";"POPULARITY";"REV";
"C1";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"C2";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"C3";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"C4";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"C5";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"C6";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"C7";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"C8";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"C";
"C9";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"C10";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"C11";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"C12";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"C13";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"C14";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"C15";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"C16";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"C17";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"C18";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"C19";"12pF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"C20";"12pF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"C21";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"C22";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"C23";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"C24";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"C25";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"C26";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"C27";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"C28";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"C29";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"C30";"10nF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"C31";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"CONN1";"STEMMA_I2C_QT";"STEMMA_I2C_QT";"JST_SH4";"";"";"";"";
"D3";"1N4148";"DIODESOD-323";"SOD-323";"Diode";"";"";"";
"IC1";"74HCT1G125DBV";"74AHC1G125DBV";"SOT23-5";"Single Bus Buffer Gate with 3-State Output";"";"0";"";
"IC2";"PAM8301";"PAM8301";"SOT23-6";"";"";"";"";
"IC3";"RP2040_QFN56";"RP2040_QFN56";"QFN56_7MM_REDUCEDEPAD";"";"";"";"";
"L";"RED";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED";"";"";"";
"LED1";"WS2812B_SK6812E";"WS2812B_SK6812E";"NEO3535_REVERSE";"";"";"";"";
"LED2";"WS2812B_SK6812E";"WS2812B_SK6812E";"NEO3535_REVERSE";"";"";"";"";
"LED3";"WS2812B_SK6812E";"WS2812B_SK6812E";"NEO3535_REVERSE";"";"";"";"";
"LED4";"WS2812B_SK6812E";"WS2812B_SK6812E";"NEO3535_REVERSE";"";"";"";"";
"LED5";"WS2812B_SK6812E";"WS2812B_SK6812E";"NEO3535_REVERSE";"";"";"";"";
"LED6";"WS2812B_SK6812E";"WS2812B_SK6812E";"NEO3535_REVERSE";"";"";"";"";
"LED7";"WS2812B_SK6812E";"WS2812B_SK6812E";"NEO3535_REVERSE";"";"";"";"";
"LED8";"WS2812B_SK6812E";"WS2812B_SK6812E";"NEO3535_REVERSE";"";"";"";"";
"LED9";"WS2812B_SK6812E";"WS2812B_SK6812E";"NEO3535_REVERSE";"";"";"";"";
"LED10";"WS2812B_SK6812E";"WS2812B_SK6812E";"NEO3535_REVERSE";"";"";"";"";
"LED11";"WS2812B_SK6812E";"WS2812B_SK6812E";"NEO3535_REVERSE";"";"";"";"";
"LED12";"WS2812B_SK6812E";"WS2812B_SK6812E";"NEO3535_REVERSE";"";"";"";"";
"R1";"5.1K";"RESISTOR_4PACK";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";"";"";
"R2";"10k";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";
"R3";"22";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";
"R4";"22";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";
"R5";"47K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";
"R6";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";
"R7";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";
"R8";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";
"R9";"DNP";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";
"R10";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";
"R11";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";
"R12";"680K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";
"R14";"5.1K";"RESISTOR_4PACK";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";"";"";
"SP2";"7.5mm SPK";"SPEAKER_7.5MM";"BUZZER_SMT_7.5MM";"SPEAKER Source: BuerklinAdded PS12 (for part # PS1240 piezo) http://www.ladyada.net/library/pcb/eaglelibrary.html";"";"";"";
"SW1";"PEC11";"ENCODER_PLUS_SWITCH_BOURNS_PEC11";"PEC11+SWITCH";"Rotary Encoder with Built-In Switch";"";"";"";
"SW2";"RA SW";"SWITCH_SPST_TACT_RA";"SPST_TACTILE_RA";"Switch - SPST";"";"";"";
"TP1";"SEWTAP_SMTNUTM3";"SEWTAP_SMTNUTM3";"SMT_NUT_3MM";"";"";"";"";
