"Part";"Value";"Device";"Package";"Description";"BOM";"POPULARITY";"REV";
"TP2";"SEWTAP_SMTNUTM3";"SEWTAP_SMTNUTM3";"SMT_NUT_3MM";"";"";"";"";
"TP3";"SEWTAP_SMTNUTM3";"SEWTAP_SMTNUTM3";"SMT_NUT_3MM";"";"";"";"";
"TP4";"SEWTAP_SMTNUTM3";"SEWTAP_SMTNUTM3";"SMT_NUT_3MM";"";"";"";"";
"TP5";"";"TESTPOINTROUND1.5MMNO";"TESTPOINT_ROUND_1.5MM_NO";"Test Point";"";"";"";
"TP6";"";"TESTPOINTROUND1.5MMNO";"TESTPOINT_ROUND_1.5MM_NO";"Test Point";"";"";"";
"U$1";"SOCKET";"KBD_SWITCH_KAILH_SOCKETBOX_JADE_KAILH_SOCKET";"KAILH_SOCKET";"";"";"";"";
"U$2";"SOCKET";"KBD_SWITCH_KAILH_SOCKETBOX_JADE_KAILH_SOCKET";"KAILH_SOCKET";"";"";"";"";
"U$3";"SOCKET";"KBD_SWITCH_KAILH_SOCKETBOX_JADE_KAILH_SOCKET";"KAILH_SOCKET";"";"";"";"";
"U$4";"SOCKET";"KBD_SWITCH_KAILH_SOCKETBOX_JADE_KAILH_SOCKET";"KAILH_SOCKET";"";"";"";"";
"U$5";"SOCKET";"KBD_SWITCH_KAILH_SOCKETBOX_JADE_KAILH_SOCKET";"KAILH_SOCKET";"";"";"";"";
"U$6";"SOCKET";"KBD_SWITCH_KAILH_SOCKETBOX_JADE_KAILH_SOCKET";"KAILH_SOCKET";"";"";"";"";
"U$12";"SOCKET";"KBD_SWITCH_KAILH_SOCKETBOX_JADE_KAILH_SOCKET";"KAILH_SOCKET";"";"";"";"";
"U$13";"SOCKET";"KBD_SWITCH_KAILH_SOCKETBOX_JADE_KAILH_SOCKET";"KAILH_SOCKET";"";"";"";"";
"U$34";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";
"U$35";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";
"U$40";"SOCKET";"KBD_SWITCH_KAILH_SOCKETBOX_JADE_KAILH_SOCKET";"KAILH_SOCKET";"";"";"";"";
"U$41";"SOCKET";"KBD_SWITCH_KAILH_SOCKETBOX_JADE_KAILH_SOCKET";"KAILH_SOCKET";"";"";"";"";
"U$42";"SOCKET";"KBD_SWITCH_KAILH_SOCKETBOX_JADE_KAILH_SOCKET";"KAILH_SOCKET";"";"";"";"";
"U$43";"SOCKET";"KBD_SWITCH_KAILH_SOCKETBOX_JADE_KAILH_SOCKET";"KAILH_SOCKET";"";"";"";"";
"U$80";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";
"U1";"GD25x16";"SPIFLASH_8PIN_4X4";"USON8_4X4";"SOIC8 SPI Flash";"";"";"";
"U2";"AP2112K-3.3";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";"";"";
"X1";"TYPE C";"USB_C";"USB_C_CUSB31-CFM2AX-01-X";"USB Type-C USB 2.0 Connector";"";"";"";
"X2";"ZJY130-2864KSWLG22";"ZJY130-2864KSWLG22";"ZJY130-2864KSWLG22";"";"";"";"";
"Y1";"12MHZ";"CRYSTAL2.5X2.0";"CRYSTAL_2.5X2";"Crystals";"";"";"";
