"Part";"Value";"Device";"Package";"Description";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";
"JP1";"";"M023.5MM";"SCREWTERMINAL-3.5MM-2";"Header 2";"";
"JP2";"";"M03JST-PTH";"JST-3-PTH";"Header 3";"";
"JP3";"";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";
"JP4";"";"M03SCREW";"SCREWTERMINAL-3.5MM-3";"Header 3";"";
"JP5";"";"M03PTH";"1X03";"Header 3";"";
"JP8";"";"M02JST-PTH-2";"JST-2-PTH";"Header 2";"";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";
"LOGO2";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SFE Logo, flame only";"";
"Q1";"RFP30N6LE";"MOSFET-NCHANNELPTH2";"TO220V";"";"";
"R1";"10K";"RESISTORPTH1";"AXIAL-0.3";"Resistor";"";
