"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"JP6,JP2,JP8,JP9";"MICRO-FIDUCIAL";4;"FIDUCIALUFIDUCIAL";;;
2;"U$10";"I_SUPER2_C-()-03";1;"";;;
3;"LOGO1";"OSHW-LOGO-MINI";1;"OSHW-LOGOMINI";;;
4;"U$25";"A00";1;"";;;
5;"U$17,U$8,U$13,U$16";"GND";4;"";;;
6;"U$26";"A11";1;"";;;
7;"U$24,U$23";"BUTTON1";2;"";;;
8;"JP5,JP4,JP1,JP7";"SMT-JUMPER_2_NO_SILK";4;"";;;
9;"JP3";"SMT-JUMPER_3_2-NC_TRACE_SILK";1;"";;;
10;"U$15,U$11";"INT#-[_-04";2;"";;;
11;"INT0";"SMT-JUMPER_2_NC_TRACE_SILK";1;"";;;
12;"U$20,U$2";"QWIIC0";2;"";;;
13;"U$9";"(ADR)";1;"";;;
14;"U$5,U$14";"SCL";2;"";;;
15;"U$6,U$12";"SDA";2;"";;;
16;"U$7,U$22";"3.3V";2;"";;;
17;"U$19,U$3";"LED2";2;"";;;
18;"U$4";"INT-()-04";1;"";;;
19;"J7";"2X3_TEST_POINTS";1;"ISP";;;
20;"U$18";"SPARKX-MEDIUM";1;"";;;
21;"U$27";"A22";1;"";;;
22;"U$28";"A33";1;"";;;
23;"D1";"LED-0603";1;"RED";;;
24;"U4";"SO14";1;"ATTINY84-ARDUINO";;;
25;"U$1";"QWIIC_5.5MM";1;"";;;
26;"FRAME1";"CREATIVE_COMMONS";1;"FRAME-LETTER";;;
27;"U$21";"STAT1";1;"";;;
28;"J5";"1X01_NO_SILK";1;"";;;
29;"R2,R1";"0603";2;"2.2k";;;
30;"C2";"0603";1;"0.1uF";;;
31;"R4";"0603";1;"1k";;;
32;"J4";"1X02_NO_SILK";1;"";;;
33;"R11,R3";"0603";2;"10k";;;
34;"J1";"1X04_NO_SILK";1;"";;;
35;"J3,J2";"JST04_1MM_RA";2;"";;;
