Partlist

Exported from boardEagle.brd at 08/08/2022 02:04

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value                                                 Package                        Library      Position (inch)       Orientation
SW3      SPST_TACT-EVQQ2                                       BTN_KMR2_4.6X2.8               microbuilder (0.5475 1.0325)       R135
TFT1     DISP_LCD_GENERIC_SPITFT_VDDIO_1.54_240X240_HANDSOLDER TFT_1.54IN_240X240_HANDSOLDER  microbuilder (0.005 0.1825)        MR180
TP3      SEWTAP_ALLILONG                                       PCB_ALLI_LONG                  microbuilder (-0.3925 -0.9325)     R180
TP4      SEWTAPPCB_ALLIGATOR                                   PCB_ALLI                       microbuilder (-0.125 -1.0675)      R180
TP6                                                            TESTPOINT_ROUND_1.5MM          microbuilder (-0.1325 0.4875)      R0
TP7                                                            TESTPOINT_ROUND_1.5MM          microbuilder (-0.15 0.365)         R0
TP28     SEWTAPPCB_ALLIGATOR                                   PCB_ALLI                       microbuilder (0.13 -1.07)          R180
TP29     SEWTAP_ALLILONG                                       PCB_ALLI_LONG                  microbuilder (0.395 -0.9325)       R180
U$31     MOUNTINGHOLE2.5                                       MOUNTINGHOLE_2.5_PLATED        microbuilder (0.35 1.085)          R180
U$32     MOUNTINGHOLE2.5                                       MOUNTINGHOLE_2.5_PLATED        microbuilder (-0.35 1.085)         R180
U$34     FIDUCIAL_1MM                                          FIDUCIAL_1MM                   microbuilder (-0.8025 0.865)       R180
U$35     FIDUCIAL_1MM                                          FIDUCIAL_1MM                   microbuilder (0.28527559 -0.78935827) R180
U$59     CON_MOLEX_2P                                          53398-0271                     microbuilder (-0.8725 0.335)       R90
U$63     ATSAMD51J19                                           PQFN64-1                       microbuilder (-0.01 0.035)         R0
U4       ALS-PT21                                              ALS-PT26-21C                   microbuilder (-0.53831435 1.07280327) R30
U6       AP2112-3.3                                            SOT23-5                        microbuilder (0.1775 0.54)         R90
U7       MCP73831T-2ACI/OT                                     SOT23-5                        microbuilder (-0.04 0.6175)        R0
U9       GD25Q64                                               SOIC8_208MIL                   microbuilder (-0.1125 -0.425)      R270
X2       microUSB                                              4UCONN_20329_V2                microbuilder (0 1)                 R180
X4       JSTPH                                                 JSTPH2                         microbuilder (0.4175 0.755)        R270
