"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U$13";"53398-0271";1;"CON_MOLEX_2P";;;
2;"R10";"RESPACK_4X0603";1;"100";;;
3;"Q6,Q4,Q3,Q5";"SOT23-WIDE";4;"BSS138";;;
4;"IC3";"TQFN48_7MM";1;"ATSAMD51G_TQFN48";;;
5;"@HOLE15,@HOLE0,@HOLE9,@HOLE7,@HOLE19,@HOLE11,@HOLE13,@HOLE22,@HOLE20,@HOLE17,@HOLE21,@HOLE18,@HOLE14,@HOLE8,@HOLE2,@HOLE4,@HOLE6,@HOLE23,@HOLE5,@HOLE16,@HOLE1,@HOLE10,@HOLE12,@HOLE3";"";24;"";;;
6;"SW3,SW2,SW1,SW4";"SPST_TACTILE_RA";4;"C13124";;;
7;"C20,C3,C12,C5";"0603-NO";4;"0.1uF";;;
8;"C10";"_0805MP";1;"10uF";;;
9;"U$58,U$9,U$63,U$61,U$64,U$7,U$10,U$8,U$59,U$60";"MOUNTINGHOLE_3.0_PLATEDTHIN";10;"MOUNTINGHOLE3.0THIN";;;
10;"R23,R5";"0603-NO";2;"10";;;
11;"R7,R6";"0603-NO";2;"2.2K";;;
12;"R1,R17";"0603-NO";2;"10K";;;
13;"D4,D3";"SOD-323";2;"3.6V";;;
14;"C28,C16,C25,C19,C11,C21";"0603-NO";6;"1uF";;;
15;"D5";"SOD-123";1;"MBR0540";;;
16;"R4,R3";"0603-NO";2;"100K";;;
17;"R18";"0603-NO";1;"100";;;
18;"TP1,TP2";"TESTPOINT_ROUND_1.5MM_NO";2;"";;;
19;"C15,C17,C4,C13,C1,C2";"0805-NO";6;"10uF";;;
20;"TP8,TP7,TP6";"TESTPOINT_ROUND_2MM_NO";3;"";;;
21;"U3";"SOT23-5";1;"MCP73831T-2ACI/OT";;;
22;"JP2,JP1";"JST_SH9";2;"";;;
23;"I2C0";"JSTPH4";1;"JST PH 4";;;
24;"R20";"0603-NO";1;"2Meg";;;
25;"TP3,TP4,TP5";"TESTPOINT_ROUND_2MM";3;"";;;
26;"SW11";"SPDT_SMT_SSSS811101";1;"C5392";;;
27;"U5";"MSOP8_0.65MM";1;"PAM8302AASCR";;;
28;"C27,C30";"0805-NO";2;"10µF";;;
29;"U$5,U$3,U$35,U$34,U$4";"FIDUCIAL_1MM";5;"FIDUCIAL_1MM";;;
30;"R19,R14";"RESPACK_4X0603";2;"10K";;;
31;"X1";"JSTPH2";1;"JSTPH";;;
32;"SJ1,SJ2";"SOLDERJUMPER_2WAY_OPEN_NOPASTE";2;"";;;
33;"X2";"4UCONN_18510";1;"C2424";;;
34;"L0";"CHIPLED_0805_NOOUTLINE";1;"RED";;;
35;"NEOPIX0,SENSE0";"JSTPH3";2;"JST PH 3";;;
36;"U$62";"MONSTERM4SK_BACK";1;"";;;
37;"R16";"0603-NO";1;"4.7K";;;
38;"R15,R8,R11";"0603-NO";3;"1K";;;
39;"U$65,U$66";"PCBFEAT-REV-040";2;"";;;
40;"U2";"ALS-PT26-21C";1;"ALS-PT21";;;
41;"C23,C22";"C1210";2;"100uF";;;
42;"X3";"4UCONN_20329_NARROW";1;"microUSB";;;
43;"IC4";"LGA16_3X3MM";1;"LIS3DH";;;
44;"FB2";"_0805MP";1;"Ferrite";;;
45;"R21";"0603-NO";1;"1k";;;
46;"CHG0";"CHIPLED_0805_NOOUTLINE";1;"ORANGE";;;
47;"U4,U6";"SOT23-5";2;"AP2112-3.3";;;
48;"Q2,Q1";"SOT23-R";2;"DMG2305";;;
49;"CONN1";"JST_SH4";1;"STEMMA_I2C_QT";;;
50;"R9,R12";"0603-NO";2;"47K";;;
51;"FB1";"0805-NO";1;"Ferrite";;;
52;"IC2";"QFN24_4MM";1;"ATSAMD09D14A-MU";;;
53;"U1";"SOIC8_208MIL";1;"GD25x16";;;
54;"R13";"0603-NO";1;"DNP";;;
55;"R2";"0603-NO";1;"100k";;;
56;"TFT2,TFT1";"TFT_1.54IN_240X240_22PIN";2;"DISP_TFT_1.54IN_240X240_22P";;;
57;"U$57";"MONSTERM4SK_FRONT";1;"";;;
