"Part";"Value";"Device";"Package";"Description";"";
"FRAME2";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame";"";
"JG1";"M021X02_NO_SILK";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";
"JG2";"M021X02_NO_SILK";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";
"JG3";"M021X02_NO_SILK";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";
"JG4";"M021X02_NO_SILK";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";
"JG5";"M021X02_NO_SILK";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";
"JG6";"M021X02_NO_SILK";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";
"JP1";"M29NO_SILK";"M29NO_SILK";"1X29_NO_SILK";"1x29 .1" header";"";
"JP2";"M29NO_SILK";"M29NO_SILK";"1X29_NO_SILK";"1x29 .1" header";"";
"JP3";"M29NO_SILK";"M29NO_SILK";"1X29_NO_SILK";"1x29 .1" header";"";
"JP4";"M29NO_SILK";"M29NO_SILK";"1X29_NO_SILK";"1x29 .1" header";"";
"JP5";"";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";
"JP6";"";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";
"JP7";"";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";
"JP8";"";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";
"JP9";"";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";
"JP10";"";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";
"JP11";"";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";
"JP12";"";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";
"JP13";"";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";
