"Part";"Value";"Device";"Package";"Description";"";
"AJ1";"AUDIO-JACK2SMD";"AUDIO-JACK2SMD";"AUDIO-JACK-3.5MM-SMD";"Stereo audio jack with bypass switches.";"";
"AJ2";"AUDIO-JACK2SMD";"AUDIO-JACK2SMD";"AUDIO-JACK-3.5MM-SMD";"Stereo audio jack with bypass switches.";"";
"C1";"4.7nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C2";"4.7nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C3";"4.7nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C4";"4.7nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"FRAME2";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";
"JP1";"";"M04PTH";"1X04";"Header 4";"";
"JP2";"";"M081X08";"1X08";"Header 8";"";
"JP4";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";
"JP5";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";
"JP6";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";
"R1";"3.3k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R2";"3.3k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R3";"3.3k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R4";"3.3k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"U$1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";
