"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"VALUE";
"C1";"15pF";"15PF-0402T-50V-5%";"0402-TIGHT";"15pF ceramic capacitors";"";"CAP-13063";"";"15pF";
"C2";"15pF";"15PF-0402T-50V-5%";"0402-TIGHT";"15pF ceramic capacitors";"";"CAP-13063";"";"15pF";
"C3";"0.1uF";"0.1UF-0402T-10V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-15083";"";"0.1uF";
"C4";"10uF";"10UF-0402T-6.3V-20%";"0402-TIGHT";"10.0µF ceramic capacitors";"";"CAP-14848";"";"10uF";
"C5";"0.1uF";"0.1UF-0402T-10V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-15083";"";"0.1uF";
"C6";"0.1uF";"0.1UF-0402T-10V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-15083";"";"0.1uF";
"C7";"0.1uF";"0.1UF-0402T-10V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-15083";"";"0.1uF";
"C8";"10uF";"10UF-0402T-6.3V-20%";"0402-TIGHT";"10.0µF ceramic capacitors";"";"CAP-14848";"";"10uF";
"C9";"0.1uF";"0.1UF-0402T-10V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-15083";"";"0.1uF";
"C10";"0.1uF";"0.1UF-0402T-10V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-15083";"";"0.1uF";
"C11";"4.7uF";"4.7UF-0402_TIGHT-6.3V-20%-X5R";"0402-TIGHT";"4.7µF ceramic capacitors";"";"CAP-14240";"";"4.7uF";
"D1";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";"DIO-08575";"";"BLUE";
"D3";"1A/23V/620mV";"DIODE-SCHOTTKY-BAT20J";"SOD-323";"Schottky diode";"";"DIO-11623";"";"1A/23V/620mV";
"FD5";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FD6";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FD7";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FD8";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FRAME2";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"";"";
"J2";"MICROMOD-2222";"MICROMOD-2222";"M.2-CARD-E-22";"MicroMod Connector";"";"";"";"";
"L1";"30Ω";"FERRITE_BEAD-0402-30Ω-100MHZ";"0402-TIGHT";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"NDUC-15133";"";"30Ω";
"LOGO2";"OSHW-LOGOMINI";"OSHW-LOGOMINI";"OSHW-LOGO-MINI";"Open-Source Hardware (OSHW) Logo";"";"";"";"";
"LOGO5";"SPECIAL_INSTRUCTIONS-ORDERING";"SPECIAL_INSTRUCTIONS-ORDERING";"ORDERING_INSTRUCTIONS";"Special Ordering/Production Instructions Alert";"";"";"";"";
"LOGO6";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME_.1";"SparkFun Font Logo";"";"";"";"";
"R1";"10k";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"10kΩ resistor";"";"RES-14241";"";"10k";
"R2";"1k";"1KOHM-0402T-1/16W-1%";"0402-TIGHT";"1kΩ resistor";"";"RES-14342";"";"1k";
"R3";"1k";"1KOHM-0402T-1/16W-1%";"0402-TIGHT";"1kΩ resistor";"";"RES-14342";"";"1k";
"R4";"100k";"100KOHM-0402T-1/16W-1%";"0402-TIGHT";"100kΩ resistor";"";"RES-13495";"";"100k";
"U1";"W25QXX128MBIT-6X5-NO_CENTER";"W25QXX128MBIT-6X5-NO_CENTER";"WSON-8-6X5-NO_CENTERPAD";"";"";"IC-15107";"";"";
"U2";"ATSAMD51J20A-A";"ATSAMD51J20A-A";"TQFP64";"";"";"IC-13952";"";"";
"Y1";"32.768kHz";"CRYSTAL-32.768KHZSMD-3.2X1.5";"CRYSTAL-SMD-3.2X1.5MM";"32.768kHz Crystal";"";"XTAL-13062";"";"32.768kHz";
