Partlist

Exported from boardEagle.brd at 19/08/2022 09:55

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value                         Package                                         Library                    Position (inch)       Orientation
R11      1K                            0603-RES                                        SparkFun-Resistors         (1.9125 0.6375)       R90
R12      1K                            0603-RES                                        SparkFun-Resistors         (1.8375 0.6375)       R270
R13      1K                            0603-RES                                        SparkFun-Resistors         (1.65 0.775)          R0
R14      4.7K                          0603-RES                                        SparkFun-Resistors         (1.175 1.225)         R0
R15      1K                            0603-RES                                        SparkFun-Resistors         (1.6625 0.5875)       R0
R16      20k                           0603-RES                                        SparkFun-Resistors         (0.775 0.675)         R0
R17      8.2K                          0603-RES                                        SparkFun-Resistors         (0.775 0.5875)        R180
R18      10K                           0603-RES                                        SparkFun-Resistors         (1.35 0.825)          R270
S2       Reset                         TACTILE-SWITCH-SMD                              SparkFun-Electromechanical (1.7875 1.7)          R0
SJ2      JUMPER-PAD-2-NC_BY_PASTE      PAD-JUMPER-2-NC_BY_PASTE_YES_SILK               SparkFun-Passives          (1.275 0.625)         R90
U1       HX711                         SO16                                            Testing                    (1 0.575)             R270
U3       TMP102                        SOT563                                          SparkFun-Sensors           (1.6375 0.3875)       R90
U4       ATMEGA328P_TQFP               TQFP32-08                                       SparkFun-DigitalIC         (0.875 1.35)          R180
U6       FT231XS                       SSOP20_L                                        SparkFun-DigitalIC         (1.4875 1.2375)       R0
Y2       16MHZ                         RESONATOR-SMD                                   SparkFun-FreqCtrl          (1.155 1.46)          R90
