"Part";"Value";"Device";"Package";"Description";"TP_SIGNAL_NAME";
"CI";"TPTP20R";"TPTP20R";"TP20R";"Test pad";"";
"CO";"TPTP20R";"TPTP20R";"TP20R";"Test pad";"";
"DI";"TPTP20R";"TPTP20R";"TP20R";"Test pad";"";
"DO";"TPTP20R";"TPTP20R";"TP20R";"Test pad";"";
"FID1";"FIDUCIAL_0.5MM";"FIDUCIAL_0.5MM";"FIDUCIAL_0.5MM";"Fiducial Alignment Points";"";
"FID2";"FIDUCIAL_0.5MM";"FIDUCIAL_0.5MM";"FIDUCIAL_0.5MM";"Fiducial Alignment Points";"";
"FID3";"FIDUCIAL_0.5MM";"FIDUCIAL_0.5MM";"FIDUCIAL_0.5MM";"Fiducial Alignment Points";"";
"G1";"TPTP20R";"TPTP20R";"TP20R";"Test pad";"";
"G2";"TPTP20R";"TPTP20R";"TP20R";"Test pad";"";
"G3";"TPTP20R";"TPTP20R";"TP20R";"Test pad";"";
"LED1";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED2";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED3";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED4";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED5";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED6";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED7";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED8";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED9";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED10";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED11";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED12";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED13";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED14";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED15";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED16";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED17";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED18";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED19";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED20";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED21";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED22";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED23";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED24";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED25";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED26";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED27";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED28";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED29";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED30";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED31";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED32";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED33";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED34";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED35";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED36";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED37";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED38";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED39";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED40";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED41";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED42";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED43";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED44";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED45";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED46";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED47";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED48";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED49";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED50";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED51";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED52";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
