"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R5,R4";"0402-RES";2;"10k";;;
2;"U$14";"SFE-LOGO-FLAME";1;"LOGO-SFESK";;;
3;"J$1";"SMA-EDGE";1;"SMA_EDGE";;;
4;"R1";"0402-RES";1;"1M";;;
5;"C6,C5";"0402-CAP";2;"33nF";;;
6;"C11";"0402-CAP";1;"1.0pF";;;
7;"U2";"QFN-32";1;"NRF24LU1";;;
8;"C7,C8";"0402-CAP";2;"10n";;;
9;"L2,L3";"C0402";2;"6.8nH";;;
10;"C4,C3";"0402-CAP";2;"15pF";;;
11;"C2";"0402-CAP";1;"0.1uF";;;
12;"C12";"0402-CAP";1;"1.2pF";;;
13;"U$12,U$13";"FIDUCIAL-1X2";2;"FIDUCIAL1X2";;;
14;"JP1";"1X10";1;"M10"";;;
15;"R2";"0402-RES";1;"22k";;;
16;"R3";"1206";1;"10";;;
17;"C14,C1";"EIA3216";2;"10uF";;;
18;"C13";"0402-CAP";1;"100nF";;;
19;"R7,R6";"0402-RES";2;"22";;;
20;"C10";"0402-CAP";1;"2.2nF";;;
21;"Q1";"CRYSTAL-SMD-5X3";1;"16MHz";;;
22;"L1";"C0402";1;"4.7nH";;;
23;"U1";"SOT23-5";1;"3.3V";;;
24;"X1";"USB-MINIB";1;"USBSMD";;;
25;"JP2";"SFE-NEW-WEBLOGO";1;"LOGO-SFENEW";;;
