"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"5-PIN-DIN-RA-PCB-NEW";1;"MIDI OUT";;;
2;"R2,R4,R1,R3";"0603-RES";4;"220";;;
3;"LOGO5";"SFE_LOGO_FLAME_.1";1;"SFE_LOGO_FLAME.1_INCH";;;
4;"S1";"TACTILE-SWITCH-SMD";1;"Reset";;;
5;"S4,S5,S3";"TACTILE-PTH-12MM";3;"SWITCH-MOMENTARY-212MM";;;
6;"LED2";"LED-0603";1;"GREEN";;;
7;"R6,R5";"0603-RES";2;"330";;;
8;"U$1";"REVISION";1;"REVISION";;;
9;"S2";"AYZ0202";1;"RUN/PROGRAM";;;
10;"D1";"SMA-DIODE";1;"MBRA140";;;
11;"RV2,RV1";"ALPS_POT";2;"10k";;;
12;"J1";"5-PIN-DIN-RA-PCB-NEW";1;"MIDI IN";;;
13;"LED1";"LED-0603";1;"RED";;;
14;"FID2,FID1";"MICRO-FIDUCIAL";2;"FIDUCIALUFIDUCIAL";;;
15;"U2";"SOT23-5";1;"74AHC1G125";;;
16;"U1";"8-SMD";1;"6N138M";;;
17;"LOGO2";"OSHW-LOGO-S";1;"OSHW-LOGOS";;;
18;"J3";"UNO_R3_SHIELD";1;"UNO_R3_SHIELD";;;
19;"FRAME1";"CREATIVE_COMMONS";1;"Frame";;;
20;"SJ7,SJ4,SJ5,SJ6";"PAD-JUMPER-2-NO_YES_SILK";4;"JUMPER-PAD-2-NOYES_SILK";;;
21;"SJ3";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";1;"out/thru";;;
22;"SJ2";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";1;"TX sel";;;
23;"LOGO1";"SFE_LOGO_NAME_FLAME_.2";1;"SFE_LOGO_NAME_FLAME.2_INCH";;;
24;"LOGO3";"OSHW-LOGO-M";1;"OSHW-LOGOM";;;
25;"SJ1";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";1;"RX sel";;;
