"Part";"Value";"Device";"Package";"Description";"DESIGNER";"NO_PART";"PROD_ID";"SPARKLE_ID";"VALUE";"VERSION";
"C1";".1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"CAP-00810";"918";"0.1uF";"";
"C2";".1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"CAP-00810";"918";"0.1uF";"";
"C3";".1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"CAP-00810";"918";"0.1uF";"";
"C4";".1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"CAP-00810";"918";"0.1uF";"";
"C5";".1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"CAP-00810";"918";"0.1uF";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";"";
"FRAME1";"";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"NAME";"1";"";"";"";"v01";
"JP2";"M10"";"M10"";"1X10";"Header 10";"";"1";"";"";"";"";
"LOGO1";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SFE Logo, flame only";"";"";"";"";"";"";
"U$1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"1";"";"";"";"";
"U1";"MAX3232";"MAX232SOIC16";"SO016";"RS232 Transceiver";"";"";"IC-08171";"";"";"";
