"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"SKU";"VERSION";
"FRAME1";"";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"N. Seidle";"";"";"v01";
"J1";"ARDUINO_R3_SHIELD";"ARDUINO_R3_SHIELD";"UNO_R3_SHIELD";"Shield form compatible with the Arduino Uno R3.";"";"";"";"";
"J2";"Power";"COMPUTER-PERIPHERAL-POWERRA";"COMPUTER-PERIPHERAL-POWER-RA";"";"";"";"";"";
"JP1";"LIDAR";"M04JST-PTH";"JST-4-PTH";"Header 4";"";"";"PRT-09916";"";
"JP2";"OUT";"M06SILK_FEMALE_PTH";"1X06";"Header 6";"";"CONN-08437";"";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME_.2";"SFE Logo, name and flame";"";"";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";"";
