"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"JP14,JP15,JP16";"1X02";3;"";;;
2;"U6";"SOT353";1;"7408SE";;;
3;"R11,R12,R9,R1,R13,R10";"0603-RES";6;"10k";;;
4;"R2,R5,R3,R6,R4,R7,R8";"0603-RES";7;"1k";;;
5;"U4";"SOT23-5";1;"MIC5219 3.3V";;;
6;"Y1";"RESONATOR-SMD";1;"16MHz";;;
7;"MOD1";"XBEE-SMD";1;"XBEE-1B3";;;
8;"SFE-LOGO1";"SFE-NEW-WEBLOGO";1;"LOGO-SFENEW";;;
9;"D2,D1";"SMA-DIODE";2;"";;;
10;"JP12,JP9,JP11,JP10,JP8,JP13";"2X3_SMT_POSTS";6;"";;;
11;"FID2,FID1";"MICRO-FIDUCIAL";2;"FIDUCIALUFIDUCIAL";;;
12;"U1";"TQFP32-08";1;"ATMEGA328P";;;
13;"C6,C5,C4,C7,C3,C2";"0603-CAP";6;"0.1uF";;;
14;"FRAME1";"CREATIVE_COMMONS";1;"FRAME-LETTER";;;
15;"U3";"SOT23-5";1;"MIC5219 5V";;;
16;"JP7,JP6";"2X5_NOSILK";2;"M05X2NO_SILK";;;
17;"D6,D4,D3,D5";"LED-0603";4;"GREEN";;;
18;"S3,S1,S2";"AYZ0202";3;"DPDT";;;
19;"JP3";"POWER_JACK_SMD";1;"5.5x2.1mm Barrel";;;
20;"S4";"TACTILE_SWITCH_SMD";1;"";;;
21;"JP5";"2X3";1;"AVR_SPI_PRG_6PTH";;;
22;"U$21";"FOUR_LAYER_WARNING";1;"FOUR_LAYER_WARNING";;;
23;"Q1";"MSOP8";1;"";;;
24;"U5";"SSOP28DB";1;"FT232RLSSOP";;;
25;"STANDOFF3,STANDOFF2,STANDOFF4,STANDOFF1";"STAND-OFF";4;"STAND-OFF";;;
26;"JP1,JP2";"1X03_SMD_RA_FEMALE";2;"1x3 RA Female .1"";;;
27;"JP4";"USB-MINIB";1;"USB-B";;;
28;"C9,C8";"EIA3216";2;"10uF";;;
29;"U2";"SSOP24";1;"TB6612FNG";;;
30;"U$17";"OSHW-LOGO-S";1;"OSHW-LOGOS";;;
