"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"JP1";"";"PINHD-1X8CLEANBIG";"1X08-CLEANBIG";"PIN HEADER";"";"";"";"";
"JP2";"";"HEADER-1X876MIL";"1X08_ROUND_76";"PIN HEADER";"";"";"";"";
"JP3";"";"HEADER-1X876MIL";"1X08_ROUND_76";"PIN HEADER";"";"";"";"";
"JP4";"";"PINHD-1X8CLEANBIG";"1X08-CLEANBIG";"PIN HEADER";"";"";"";"";
"JP6";"";"HEADER-1X1070MIL";"1X10_ROUND70";"PIN HEADER";"";"";"";"";
"JP8";"";"PINHD-1X6CB";"1X06-CLEANBIG";"PIN HEADER";"";"";"";"";
"JP15";"Shrouded 2x8";"HEADER-2X8_SHROUDED";"2X08_SHROUDED";"";"";"";"";"";
"MATRIX_PWR";"PINHEAD";"PINHEAD";"TERMBLOCK508";"";"";"";"";"";
"S4";"6mm";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";
"SJ1";"";"SOLDERJUMPERCLOSED";"SOLDERJUMPER_CLOSEDWIRE";"SMD Solder JUMPER";"";"";"";"";
"SJ2";"";"SOLDERJUMPERCLOSED";"SOLDERJUMPER_CLOSEDWIRE";"SMD Solder JUMPER";"";"";"";"";
"SJ3";"";"SOLDERJUMPERCLOSED";"SOLDERJUMPER_CLOSEDWIRE";"SMD Solder JUMPER";"";"";"";"";
"SJ4";"";"SOLDERJUMPERCLOSED";"SOLDERJUMPER_CLOSEDWIRE";"SMD Solder JUMPER";"";"";"";"";
"SJ5";"";"SOLDERJUMPERCLOSED";"SOLDERJUMPER_CLOSEDWIRE";"SMD Solder JUMPER";"";"";"";"";
"SJ6";"";"SOLDERJUMPERCLOSED";"SOLDERJUMPER_CLOSEDWIRE";"SMD Solder JUMPER";"";"";"";"";
"SJ7";"";"SOLDERJUMPERCLOSED";"SOLDERJUMPER_CLOSEDWIRE";"SMD Solder JUMPER";"";"";"";"";
"SJ8";"";"SOLDERJUMPERCLOSED";"SOLDERJUMPER_CLOSEDWIRE";"SMD Solder JUMPER";"";"";"";"";
"SJ9";"";"SOLDERJUMPERCLOSED";"SOLDERJUMPER_CLOSEDWIRE";"SMD Solder JUMPER";"";"";"";"";
"SJ10";"";"SOLDERJUMPERCLOSED";"SOLDERJUMPER_CLOSEDWIRE";"SMD Solder JUMPER";"";"";"";"";
"SJ12";"";"SOLDERJUMPERCLOSED";"SOLDERJUMPER_CLOSEDWIRE";"SMD Solder JUMPER";"";"";"";"";
"SJ13";"";"SOLDERJUMPERCLOSED";"SOLDERJUMPER_CLOSEDWIRE";"SMD Solder JUMPER";"";"";"";"";
"SJ14";"";"SOLDERJUMPERCLOSED";"SOLDERJUMPER_CLOSEDWIRE";"SMD Solder JUMPER";"";"";"";"";
"U$41";"ARDUINO_R3_ICSP_NODIM";"ARDUINO_R3_ICSP_NODIM";"ARDUINOR3_ICSP_NODIM";"";"";"";"";"";
