"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"JP9";"1X02";1;"M02PTH";;;
2;"SJ5,SJ1,SJ2,SJ6,SJ4,SJ3";"PAD-JUMPER-2-NO_YES_SILK";6;"JUMPER-PAD-2-NOYES_SILK";;;
3;"SJ7";"PAD-JUMPER-2-NO_YES_SILK";1;"VIN_ENABLE";;;
4;"R12,R13,R7,R16,R18,R9,R19,R10,R8,R15,R6,R14,R17,R11";"0603-RES";14;"1K";;;
5;"@HOLE3,@HOLE0,@HOLE1,@HOLE2";"";4;"";;;
6;"FRAME2,FRAME1";"CREATIVE_COMMONS";2;"FRAME-LETTER";;;
7;"C1,C3,C2";"0603-CAP";3;"0.1uF";;;
8;"R3";"0603-RES";1;"200k";;;
9;"LOGO4,LOGO2";"OSHW-LOGO-S";2;"OSHW-LOGOS";;;
10;"JP5,JP3,JP7,JP1,JP8,JP2,JP4,JP6";"1X03";8;"";;;
11;"R4,R5";"0603-RES";2;"DNP";;;
12;"U2";"PCA9306DC-1_1";1;"PCA9306";;;
13;"FID2,FID1,FID4,FID3";"FIDUCIAL-1X2";4;"FIDUCIAL1X2";;;
14;"LOGO1,LOGO3";"SFE_LOGO_NAME_FLAME_.1";2;"SFE_LOGO_NAME_FLAME.1_INCH";;;
15;"D1";"SMA-DIODE";1;"B340A";;;
16;"R1,R2";"0603-RES";2;"10K";;;
17;"U1";"TSSOP-28_4MM";1;"PCA9685";;;
18;"U4";"DF40C-70DP-0.4(51)";1;"EDISON_CONNECTOR_FULLHEADER";;;
19;"U3";"EDISON_DAUGHTER";1;"EDISON_CONNECTOR_FULLMOUNTING_HOLES";;;
