"Part";"Value";"Device";"Package";"Description";"";
"C2";"10µF";"CAP_CERAMIC0805_10MGAP";"0805_10MGAP";"Ceramic Capacitors";"";
"C6";"0.22uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C7";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"FID1";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"";
"FID2";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"";
"GND";"SEWTAP0.5IN";"SEWTAP0.5IN";"SEWINGTAP_0.5";"";"";
"R1";"10K";"RESISTOR_4PACK_US";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";
"SCL1";"SEWTAP0.5IN";"SEWTAP0.5IN";"SEWINGTAP_0.5";"";"";
"SCL2";"SEWTAP0.5IN";"SEWTAP0.5IN";"SEWINGTAP_0.5";"";"";
"SDA1";"SEWTAP0.5IN";"SEWTAP0.5IN";"SEWINGTAP_0.5";"";"";
"SDA2";"SEWTAP0.5IN";"SEWTAP0.5IN";"SEWINGTAP_0.5";"";"";
"U2";"LSM9DS0TR";"LSM9DS0";"LGA24_4X4MM";"LSM9DS0 3-Axis Accelerometer/Gyroscope/Magnetometer";"";
"VCC";"SEWTAP0.5IN";"SEWTAP0.5IN";"SEWINGTAP_0.5";"";"";
