"Part";"Value";"Device";"Package";"Description";"AM";"BTM_NEG";"BTM_POS";"PART#";"PROD_ID";"TOP_NEG";"TOP_POS";"VALUE";
"C1";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C2";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C3";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C4";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C5";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C6";"10uF";"10UF10V10%(0805)";"0805-CAP";"CAP-11330";"";"";"";"LMK212BJ106KG-T";"CAP-11330";"";"";"";
"C7";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"";"";"";"";"CAP-00811";"";"";"10uF";
"C8";"3.3nF";"3.3NF-100V-10%(0603)";"0603-CAP";"CAP-09633";"";"";"";"";"CAP-09633";"";"";"3.3nF";
"C9";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C10";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"";"";"";"TAJA106K016RNJ";"CAP-00811";"";"";"10uF";
"C11";"10uF";"10UF50V20%(1210)";"1210";"CAP-09824";"";"";"";"UMK325C7106MM-T";"CAP-09824";"";"";"10uF";
"D1";"B340A";"DIODE-SCHOTTKY-B340A";"SMA-DIODE";"Schottky diodes in SFE's production catalog";"";"";"";"B340A";"DIO-09886";"";"";"B340A";
"D2";"DZ2J160M0L";"DIODE-ZENERDZ2J150M0L";"PANASONIC_SMINI2-F5-B";"Zener Diode";"";"";"";"DZ2J150M0L";"DIO-12989";"";"";"";
