"Part";"Value";"Device";"Package";"Description";"AM";"BTM_NEG";"BTM_POS";"PART#";"PROD_ID";"TOP_NEG";"TOP_POS";"VALUE";
"D3";"Yellow";"LED-YELLOW0603-SMART";"LED-0603";"Yellow SMD LEDs";"";"";"";"";"DIO-11230";"";"";"Yellow";
"D5";"Red";"LED-RED0603-SMART";"LED-0603";"Assorted Red LEDs";"";"";"";"";"DIO-11154";"";"";"Red";
"F1";"0.75A";"PTCSMD";"PTC-1206";"Resettable Fuse PTC";"";"";"";"0ZCA0075FF2G";"RES-11150";"";"";"";
"FRAME2";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";"";"";"";"";
"JP1";"";"M03PTH";"1X03";"Header 3";"";"";"";"";"";"";"";"";
"JP2";"";"M03PTH";"1X03";"Header 3";"";"";"";"";"";"";"";"";
"JP3";"";"M01PTH";"1X01";"Header 1";"";"";"";"";"";"";"";"";
"JP4";"";"M03PTH";"1X03";"Header 3";"";"";"";"";"";"";"";"";
"JP5";"";"M03PTH";"1X03";"Header 3";"";"";"";"";"";"";"";"";
"JP6";"";"M03PTH";"1X03";"Header 3";"";"";"";"";"";"";"";"";
"JP7";"";"M161X16_NO_SILK";"1X16_NO_SILK";"1x16 .1" header";"";"";"";"";"";"";"";"";
"JP8";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";
"JP9";"";"M111X11_NO_SILK";"1X11_NO_SILK";"Header 11";"";"";"";"";"";"";"";"";
"JP10";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";"";"";
"JP11";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";"";"";
"JP12";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";"";"";
"JP13";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";"";"";
"JP14";"";"M01PTH";"1X01";"Header 1";"";"";"";"";"";"";"";"";
"JP15";"";"M01PTH";"1X01";"Header 1";"";"";"";"";"";"";"";"";
"JP16";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";
"JP17";"";"M03PTH";"1X03";"Header 3";"";"";"";"";"";"";"";"";
"JP19";"JST";"JST_2MM_MALE";"JST-2-SMD";"Mates to single-cell LiPo batteries.";"";"-";"+";"";"CONN-11443";"-";"+";"";
"JP20";"";"M191X19_NO_SILK";"1X19_NO_SILK";"1x19 .1" header";"";"";"";"";"";"";"";"";
"JP21";"AB MICRO USB";"USB-ABCONN-11794";"USB-AB-MICRO-SMD_V03";"This is a USB AB connector that is compatible with USB OTG. i.e. this connector can serve as a host or device";"";"";"";"";"CONN-11794";"";"";"";
"L1";"30Ohm,1.8A";"INDUCTOR30OHM,1.8A";"0603";"Inductors";"";"";"";"";"RES-07859";"";"";"";
"L2";"VLC5045T-3R3N";"INDUCTORCR54-3.3UH";"CR54";"Inductors";"3.3uH";"";"";"";"NDUC-11157";"";"";"";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo";"";"";"";"";"";"";"";"";
"LOGO2";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";"";"";"";"";"";"";
"LOGO3";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SFE Logo, flame only";"";"";"";"";"";"";"";"";
"Q1";"IRLML2244";"MOSFET-PCHANNELIRLML2244";"SOT23-3";"Generic PMOSFET";"";"";"";"";"TRANS-11153";"";"";"";
"Q2";"2N7002PW";"MOSFET-NCHANNEL2N7002PW";"SOT323";"Common NMOSFET Parts";"";"";"";"2N7002PW";"TRANS-11151";"";"";"";
"Q3";"MOSFET-NCHANNELAO3404A";"MOSFET-NCHANNELAO3404A";"SOT23-3";"Common NMOSFET Parts";"";"";"";"AO3404A";"TRAN-12988";"";"";"";
"R1";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"";"";"";"RES-00824";"";"";"10K";
"R2";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"";"";"";"";"RES-07828";"";"";"100k";
"R3";"TS53YL502MR10";"TRIMPOTRES-11156";"TRIMPOT_5MM";"Various small potentiometers for "set-and-forget" applications";"";"";"";"TS53YL502MR10";"RES-11156";"";"";"";
"R4";"3.3k";"3.3KOHM1/10W1%(0603)";"0603-RES";"RES-07851";"";"";"";"";"RES-07851";"";"";"";
"R7";"750";"750OHM1/10W1%(0603)0603";"0603-RES";"RES-07824";"";"";"";"";"RES-07824";"";"";"750";
"R8";"470";"470OHM1/10W1%(0603)";"0603-RES";"RES-07869";"";"";"";"";"RES-07869";"";"";"470";
"R9";"1.6K";"1.6KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-08361";"";"";"";"";"RES-08361";"";"";"1.6K";
"S1";"SWITCH_SPDT";"SWITCH_SPDT";"KPS-1290";"SWCH-10651";"";"";"";"";"SWCH-10651";"";"";"";
"TP1";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";"";"";"";
"TP2";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";"";"";"";
"TP3";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";"";"";"";
"U$6";"IOIO-OTG";"IOIO-OTG";"IOIO-OTG-COPPER-EXPOSED";"Labels for the IOIO-OTG";"";"";"";"";"";"";"";"";
"U1";"PIC24FJ256GB206";"PIC24FXXXGPX06";"PIC24FXXX_TQFP64";"PIC24FXXXGPX06";"";"";"";"";"IC-11312";"";"";"";
"U2";"TPS62133RGTT";"TPS62133RGTT""";"QFN16-3X3MM_1:1_V03";"3-17V, 2A Step Down Converter";"";"";"";"";"IC-11155";"";"";"";
"U3";"MIC5216";"V_REG_MIC5216";"MSOP8";"500mA LDO, MSOP8 for better dissipation";"";"";"";"";"IC-09527";"";"";"";
