"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"BH4";"BUTTONHOLE";1;"OUT-";;;
2;"JP1";"JST-2-SMD";1;"JST-SMT";;;
3;"R2";"0402-RES";1;"1M";;;
4;"BH1";"BUTTONHOLE";1;"TRIG+";;;
5;"JP6,JP7";"MICRO-FIDUCIAL";2;"FIDUCIALUFIDUCIAL";;;
6;"JP3,JP4";"JST-2-PTH-NS";2;"JST-PTH";;;
7;"R1";"0402-RES";1;"10k";;;
8;"Q1";"SO08";1;"FDS6630A";;;
9;"FRAME1";"CREATIVE_COMMONS";1;"FRAME-LETTER";;;
10;"JP5,JP2";"1X02";2;"";;;
11;"BH2";"BUTTONHOLE";1;"TRIG-";;;
12;"BH3";"BUTTONHOLE";1;"OUT+";;;
