"Part";"Value";"Device";"Package";"Description";"BOM";"POPULARITY";"TP_SIGNAL_NAME";
"C3";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"C4";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"C5";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";
"C8";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"CN1";"";"USB_TYPEAPCB";"USBA_PCB";"USB - Type A Connectors";"";"";"";
"FID1";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";
"FID2";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";
"IC3";"ATSAMD21E";"ATSAMD21E";"QFN32_5MM";"";"";"";"";
"LED1";"WS2812B_SK6805_1515";"WS2812B_SK6805_1515";"SK6805_1515";"";"";"";"";
"Q2";"reset";"SWITCH_TACT_SMT4.6X2.8";"BTN_KMR2_4.6X2.8";"SMT Tact Switches";"";"";"";
"RST";"TPTP16R";"TPTP16R";"TP16R";"Test pad";"";"0";"";
"SW1";"PEC11";"ENCODER_PLUS_SWITCH_BOURNS_PEC11";"PEC11+SWITCH";"Rotary Encoder with Built-In Switch";"";"";"";
"SWC";"TPTP16R";"TPTP16R";"TP16R";"Test pad";"";"0";"";
"SWD";"TPTP16R";"TPTP16R";"TP16R";"Test pad";"";"0";"";
"TOUCH";"";"TESTPOINTPAD1MM";"TESTPOINT_PAD_1MM";"Test Point";"";"";"";
"U1";"AP2112K-3.3";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";"";"";
