"Part";"Value";"Device";"Package";"Description";"BOM";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"C1";"10uF/16V";"CAP_CERAMIC0805";"0805";"Ceramic Capacitors";"";"";"";"";"";
"C2";"1uF/50V";"CAP_CERAMIC0805";"0805";"Ceramic Capacitors";"";"";"";"";"";
"C3";"10uF/16V";"CAP_CERAMIC0805";"0805";"Ceramic Capacitors";"";"";"";"";"";
"C4";"~1000uF";"CPOL-USE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";
"FID1";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";
"FID2";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";
"FID3";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";
"IC1";"TLC5947-DAP";"TLC5947-DAP";"HTSSOP32DAP";"";"";"";"";"";"";
"IC2";"LM2931ADT-5.0";"LM2936DT-3.3";"TO252";"Ultra-Low Quiescent Current LDO Voltage Regulator";"";"";"LM2936DT-3.3.";"1286863";"26M0361";
"J1";"1X2-3.5MM";"1X2-3.5MM";"1X2-3.5MM";"3.5mm Terminal block";"";"";"";"";"";
"JP1";"INPUT";"PINHD-1X6CB";"1X06-CLEANBIG";"PIN HEADER";"";"";"";"";"";
"JP2";"";"HEADER-2X3";"2X03_ROUND_70MIL";"PIN HEADER";"";"";"";"";"";
"JP3";"";"HEADER-2X3";"2X03_ROUND_70MIL";"PIN HEADER";"";"";"";"";"";
"JP4";"";"HEADER-2X3";"2X03_ROUND_70MIL";"PIN HEADER";"";"";"";"";"";
"JP5";"";"HEADER-2X3";"2X03_ROUND_70MIL";"PIN HEADER";"";"";"";"";"";
"JP6";"";"HEADER-2X3";"2X03_ROUND_70MIL";"PIN HEADER";"";"";"";"";"";
"JP7";"";"HEADER-2X3";"2X03_ROUND_70MIL";"PIN HEADER";"";"";"";"";"";
"JP8";"";"HEADER-2X3";"2X03_ROUND_70MIL";"PIN HEADER";"";"";"";"";"";
"JP9";"";"HEADER-2X3";"2X03_ROUND_70MIL";"PIN HEADER";"";"";"";"";"";
"JP10";"OUTPUT";"PINHD-1X6CB";"1X06-CLEANBIG";"PIN HEADER";"";"";"";"";"";
"JP11";"";"PINHD-1X1CB";"1X01-CLEANBIG";"Pin header 1x1 for 0.1" spacing";"";"";"";"";"";
"LED1";"Green";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";
"R1";"3.3K";"FLIPFLOP-RES";"0805-THM";"Flip Flop resistor";"";"";"";"";"";
"R2";"470 ohm";"RESISTOR0805";"0805";"Resistors";"";"";"";"";"";
"R3";"10K";"RESISTOR0805";"0805";"Resistors";"";"";"";"";"";
"U$1";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"";"";"";"";"";
"U$2";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"";"";"";"";"";
"U$3";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"";"";"";"";"";
"U$4";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"";"";"";"";"";
