"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"VALUE";"VERSION";
"C1";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";"";
"C2";"10nF";"10NF/10000PF-50V-10%(0603)";"0603-CAP";"CAP-00867";"";"CAP-00867";"10nF";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FRAME1";">VERSION";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"Brent Wilkins";"";"";"v01";
"JP1";"DNP";"M06SILK_FEMALE_PTH";"1X06";"Header 6";"";"CONN-08437";"";"";
"JP2";"PCB_THERMOCOUPLE";"PCB_THERMOCOUPLE";"PCC-SMP";"Circuit Board Thermocouple Connectors";"";"";"";"";
"L1";"470OHM";"INDUCTOR0603";"0603";"Inductors";"";"NDUC-12579";"";"";
"L2";"470OHM";"INDUCTOR0603";"0603";"Inductors";"";"NDUC-12579";"";"";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo";"";"";"";"";
"LOGO2";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";"";"";
"LOGO3";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";"";"";
"LOGO4";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo";"";"";"";"";
"R1";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"TP1";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";"";"";"";
"TP2";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";"";"";"";
"U1";"MAX31855K";"MAX31855K";"SOIC8";"Cold-Junction-Compensated K-Thermocoupleto-Digital";"";"IC-12578";"";"";
