Partlist

Exported from boardEagle.brd at 15/10/2022 22:19

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value                                     Package                              Library           Position (mil)        Orientation

C1       10uF                                      SMC_A                                rcl               (181.88976 1300)      R180
C2       0.1uF                                     C0603                                rcl               (1050 1681.88976)     R270
C3       0.1uF                                     C0603                                rcl               (1420 456.88976)      R90
C4       0.1uF                                     C0603                                rcl               (1425 1481.88976)     R270
C5       0.1uF                                     C0603                                rcl               (555 1416.88976)      R0
C6       0.1uF                                     C0603                                rcl               (670 481.88976)       R0
C7       0.1uF                                     C0603                                rcl               (535 1106.88976)      R270
C8       0.1uF                                     C0603                                rcl               (985 460)             R90
C9       0.1uF                                     C0603                                rcl               (1285 460)            R90
C10      0.1uF                                     C402                                 dp_devices.v6     (1520 800)            R270
C11      0.1uF                                     C0603                                rcl               (1530 1006.88976)     R90
C12      0.1uF                                     C0603                                rcl               (1130 1531.88976)     R270
C13      0.1uF                                     C0603                                rcl               (1050 1531.88976)     R270
C14      0.1uF                                     C0603                                rcl               (450 400)             R0
C15      0.1uF                                     C0603                                rcl               (450 600)             R0
C16      22pF                                      C0603                                rcl               (525 816.88976)       R90
C17      1uF                                       SMC_A                                rcl               (450 515)             R180
C18      22pF                                      C0603                                rcl               (525 946.88976)       R270
C19      0.1uF                                     C0603                                rcl               (535 1228.11024)      R90
C20      0.1uF                                     C402                                 dp_devices.v6     (1615 775)            R180
C21      0.1uF                                     C0603                                rcl               (1594 1184)           R90
C22      0.1uF                                     C0603                                rcl               (2525 450)            R90
C23      0.1uF                                     C0603                                rcl               (2100 1550)           R270
C24      0.1uF                                     C0603                                rcl               (2010 1550)           R270
C25      0.1uF                                     C0603                                rcl               (2210 1550)           R270
C26      0.1uF                                     C0603                                rcl               (2500 1550)           R270
C27      0.1uF                                     C402                                 dp_devices.v6     (1615 825)            R180
C28      0.1uF                                     C0603                                rcl               (2210 450)            R90
C29      0.1uF                                     C0603                                rcl               (2600 1475)           R270
C30      0.1uF                                     C0603                                rcl               (1950 450)            R90
C31      0.1uF                                     C0603                                rcl               (2125 450)            R90
C32      0.1uF                                     C0603                                rcl               (2675 1185)           R180
C33      0.1uF                                     C0603                                rcl               (1850 450)            R90
C34      0.1uF                                     C0603                                rcl               (2700 920)            R180
C35      0.1uF                                     C0603                                rcl               (2700 1000)           R180
C36      1uf                                       C0603                                rcl               (1600 1431.88976)     R0
C37      1uF                                       C0603                                rcl               (2250 125)            R0
C38      1uf                                       C0603                                rcl               (1625 550)            R180
C39      0.1uF                                     C0603                                rcl               (3125 725)            R0
C40      0.1uF                                     C0603                                rcl               (2750 725)            R0
C41      0.1uF                                     C0603                                rcl               (3105 1110)           R0
C42      0.1uF                                     C0603                                rcl               (3125 1750)           R0
C43      0.1uF                                     C0603                                rcl               (2750 1750)           R0
C44      1uF                                       C0603                                rcl               (1825 125)            R180
C45      0.1uF                                     C0603                                rcl               (3245 700)            R270
C46      0.1uF                                     C0603                                rcl               (2900 675)            R180
C47      0.1uF                                     C0603                                rcl               (3235 1075)           R270
C48      0.1uF                                     C0603                                rcl               (3275 1725)           R180
C49      0.1uF                                     C0603                                rcl               (2900 1700)           R180
C50      0.1uF                                     C0603                                rcl               (1675 1750)           R180
C51      0.1uF                                     C0603                                rcl               (3300 125)            R0
C52      0.1uF                                     C0603                                rcl               (2165 1750)           R180
C53      0.1uF                                     C0603                                rcl               (2030 450)            R90
C54      0.1uF                                     C0603                                rcl               (2985 1110)           R180
CONN1    CON-USB-F-MICRO-B-2                       CON_USB_MICRO-B-2-SD-47589-001       dp_devices.v6     (43.30709 984.25197)  R270
IC1      IC_MEM_23LC1024                           SOIC-8                               dp_devices        (1850 1650)           R0
IC2      IC_MEM_23LC1024                           SOIC-8                               dp_devices        (2375 1650)           R0
IC3      IC_74AC573                                TSSOP-20                             dp_devices        (3125 1280)           R90
IC4      74LVC1G07DBV                              SOT23-5                              74xx-little-de    (3125 475)            R0
IC5      74LVC1G07DBV                              SOT23-5                              74xx-little-de    (2750 475)            R0
IC6      74LVC1G07DBV                              SOT23-5                              74xx-little-de    (3100 860)            R0
IC7      74LVC1G07DBV                              SOT23-5                              74xx-little-de    (3125 1500)           R0
IC8      IC_BUFF_SN74LVC1T45DBV                    DBV-R-PDSO-G6                        dp_devices.v6     (3125 625)            R270
