"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"BATT";"CR2032";"CR2032THM";"CR2032-THRU";"";"";"";"";"";
"C1";"0.1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";"";"";"";
"FTDI";"DNP";"PINHD-1X6CLEAN";"1X06-CLEAN";"PIN HEADER";"";"";"";"";
"IC1";"DS1337";"DS1337";"DIL08-ROUND";"DS1337 - Maxim RTC without battery backup";"";"";"";"";
"IC2";"ATMEGA168PROUND";"ATMEGA168PROUND";"DIL28-3-ROUND";"MICROCONTROLLER";"";"";"";"";
"LED1";"BL-M15881B";"SEGMENT_8X8_ROWCATHODEBL-M15";"SEGMENT_BL-M15A881";"8x8 LED Segment Displays: Row = Cathode";"";"";"";"";
"PLUS";"";"31-XXSKINNY";"B3F-31XX-SKINNIER";"OMRON SWITCH";"";"";"";"";
"Q1";"32.768KHz";"CRYSTALTC38H";"TC38H";"CRYSTAL";"";"";"unknown";"unknown";
"R1";"47";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";
"R2";"47";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";
"R3";"47";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";
"R4";"47";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";
"R5";"47";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";
"R6";"47";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";
"R7";"47";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";
"R8";"47";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";
"R10";"10K";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";
"SET";"";"31-XXSKINNY";"B3F-31XX-SKINNIER";"OMRON SWITCH";"";"";"";"";
