"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"BOM";"DESCRIPTION";"DIGIKEY-PURCHASE-URL";"MF";"MP";"PACKAGE";"PRICE";
"D2";"3.6V";"DIODE-ZENERSOD323";"SOD-323";"Zener Diode";"";"";"";"";"";"";"";"";
"D3";"1N4148";"DIODESOD-323F";"SOD-323F";"Diode";"";"";"";"";"";"";"";"";
"D6";"3.6V";"DIODE-ZENERSOD323";"SOD-323";"Zener Diode";"";"";"";"";"";"";"";"";
"DS0";"APA102-2020";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";"";"";"";"";"";"";"";
"DS1";"APA102-2020";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";"";"";"";"";"";"";"";
"DS2";"APA102-2020";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";"";"";"";"";"";"";"";
"DS3";"APA102-2020";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";"";"";"";"";"";"";"";
"DS4";"APA102-2020";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";"";"";"";"";"";"";"";
"FID1";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"";"EXCLUDE";"";"";"";"";"";"";
"FID2";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"";"EXCLUDE";"";"";"";"";"";"";
"FID3";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"";"EXCLUDE";"";"";"";"";"";"";
"FID4";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"";"EXCLUDE";"";"";"";"";"";"";
"FID5";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"";"EXCLUDE";"";"";"";"";"";"";
"FID6";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"";"EXCLUDE";"";"";"";"";"";"";
"JP1";"2x3 SMT";"HEADER-2X314113";"2X03_SMT_4UCON_14113";"PIN HEADER";"";"";"";"";"";"";"";"";
"JP2";"";"HEADER-2X3_SMTTHM";"2X03_SMTTHM";"PIN HEADER";"";"";"";"";"";"";"";"";
"L";"RED";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED";"";"";"";"";"";"";"";"";
"ON";"GREEN";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED";"";"";"";"";"";"";"";"";
