"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"CAP-00811";"10uF";
"C2";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C3";"22pF";"22PF-50V-5%(0603)";"0603-CAP";"CAP-07876";"CAP-07876";"22pF";
"C4";"470pF";"470PF-50V-5%(0603)SMD";"0603-CAP";"CAP-07884";"CAP-07884";"470pF";
"C5";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C6";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"CAP-00811";"10uF";
"C7";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C8";"22pF";"22PF-50V-5%(0603)";"0603-CAP";"CAP-07876";"CAP-07876";"22pF";
"C9";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"CAP-00868";"1.0uF";
"C10";"10nF";"10NF/10000PF-50V-10%(0603)";"0603-CAP";"CAP-00867";"CAP-00867";"10nF";
"C11";"10nF";"10NF/10000PF-50V-10%(0603)";"0603-CAP";"CAP-00867";"CAP-00867";"10nF";
"C12";"47nF";"47NF(0.047UF/47000PF)-25V-5%(0603)SMD";"0603-CAP";"CAP-08605";"CAP-08605";"47nF";
"C13";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C14";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C15";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C16";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C17";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"CAP-00811";"10uF";
"C18";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"CAP-00811";"10uF";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"J1";"ISP/SPI";"AVR_SPI_PRG_6PTH";"2X3";"AVR ISP 6 Pin";"";"";
"JP1";"";"AUDIO-JACKSMD2";"AUDIO-JACK-3.5MM-SMD";"3.5mm Audio Jack";"CONN-10353";"";
"JP3";"Optional";"M03PTH";"1X03";"Header 3";"";"";
"LED1";"Power";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"DIO-00819";"RED";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";
"LOGO2";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";
"Q1";"12.288MHz";"CRYSTAL5X3";"CRYSTAL-SMD-5X3";"Crystals";"XTAL-09653";"";
"R1";"1M";"1M-1%";"0603-RES";"1M-ohm SMT";"RES-07868";"1M";
"R2";"100k";"100KOHM1/10W1%(0603)";"0603-RES";"RES-07828";"RES-07828";"100k";
"R3";"100k";"100KOHM1/10W1%(0603)";"0603-RES";"RES-07828";"RES-07828";"100k";
"R4";"100k";"100KOHM1/10W1%(0603)";"0603-RES";"RES-07828";"RES-07828";"100k";
"R5";"100k";"100KOHM1/10W1%(0603)";"0603-RES";"RES-07828";"RES-07828";"100k";
"R6";"20";"20OHM1/10W1%(0603)SMD";"0603-RES";"RES-07862";"RES-07862";"20";
"R7";"20";"20OHM1/10W1%(0603)SMD";"0603-RES";"RES-07862";"RES-07862";"20";
"R8";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R9";"10";"10OHM1/10W5%0603SMD";"0603-RES";"RES-09834";"RES-09834";"10";
"R10";"100k";"100KOHM1/10W1%(0603)";"0603-RES";"RES-07828";"RES-07828";"100k";
"R11";"100k";"100KOHM1/10W1%(0603)";"0603-RES";"RES-07828";"RES-07828";"100k";
"R12";"100k";"100KOHM1/10W1%(0603)";"0603-RES";"RES-07828";"RES-07828";"100k";
"R13";"1K";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"RES-07856";"1K";
"R14";"1K";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"RES-07856";"1K";
"R15";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R16";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R21";"470";"470OHM1/10W1%(0603)";"0603-RES";"RES-07869";"RES-07869";"470";
"R22";"470";"470OHM1/10W1%(0603)";"0603-RES";"RES-07869";"RES-07869";"470";
"S2";"Reset";"SWITCH-MOMENTARY-2SMD";"TACTILE_SWITCH_SMD";"Various NO switches- pushbuttons, reed, etc";"SWCH-08247";"";
"SJ1";"NC";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"Solder Jumper";"";"";
"SJ2";"NC";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"Solder Jumper";"";"";
"SJ3";"AC Coupling L";"JUMPER-PAD-3-2OF3_NC_BY_PASTE";"PAD-JUMPER-3-2OF3_NC_BY_PASTE_YES_SILK_FULL_BOX";"";"";"";
"SJ4";"AC Coupling R";"JUMPER-PAD-3-2OF3_NC_BY_PASTE";"PAD-JUMPER-3-2OF3_NC_BY_PASTE_YES_SILK_FULL_BOX";"";"";"";
"SJ5";"AC Coupling Gnd";"JUMPER-PAD-3-2OF3_NC_BY_PASTE";"PAD-JUMPER-3-2OF3_NC_BY_PASTE_YES_SILK_FULL_BOX";"";"";"";
"TP1";"";"TEST-POINT3X5";"PAD.03X.05";"";"";"";
"TP2";"";"TEST-POINT3X5";"PAD.03X.05";"";"";"";
"U$1";"REVISION";"REVISION";"REVISION";"";"";"";
"U$4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"U$5";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"U$8";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";"";
"U1";"3.3V";"V_REG_MIC52053.3V";"SOT23-5";"V_REG MIC5219";"VREG-00822";"3.3V/150mA";
"U2";"ARDUINO_R3_SHIELD";"ARDUINO_R3_SHIELD";"UNO_R3_SHIELD";"Shield form compatible with the Arduino Uno R3.";"";"";
"U3";"VS1053";"VS1033/1053SMD";"LQFP-48";"MP3 codec";"IC-08983";"VS1053B";
"U4";"1.8V";"V_REG_SP62141.8V";"SC70";"";"VREG-08428";"1.8V/100mA";
"U6";"USD-SOCKET";"USD-SOCKETNEW";"MICRO-SD-SOCKET-PP";"microSD Socket";"CONN-07820";"";
"U7";"74HC4050 LVL CONVERTER";"HEX_CONVERTER";"SO016";"Just what it says.";"IC-09604";"";
