"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"VIBE-0,TEMP+0,TEMP-0,LED+2,LIGHT+0,LED+4,LED-2,LED+1,LED-3,VIBE+0,U$33+0,U$24,U$23,LED+3,TEMPS0,LED-0,U$32-0,LED+0,LED-1,U$25,LIGHTS0,LED-4,LIGHT-0,U$22";"PETAL-SMALL-2SIDE";24;"SEWTAP6";;;
2;"U$6,U$2,U$32,U$47,U$3,U$5";"MOUSE-BITE-2";6;"MOUSE-BITE-2";;;
3;"R1,R12";"0402-RES";2;"330";;;
4;"TEMP3,TEMP2,LIGHT1,LIGHT2,UNK1,VIBE3,U$27,VIBE2,UNK2,VIBE4,LIGHT3,U$26,UNK4,UNK3,TEMP1,VIBE1";"PETAL-NOHOLE-2SIDE";16;"SEWTAP-NOHOLE2";;;
5;"C4,C1";"0402-CAP";2;"0.1uF";;;
6;"@HOLE29,@HOLE7,@HOLE32,@HOLE3,@HOLE46,@HOLE63,@HOLE27,@HOLE13,@HOLE72,@HOLE17,@HOLE6,@HOLE37,@HOLE71,@HOLE0,@HOLE40,@HOLE48,@HOLE61,@HOLE67,@HOLE19,@HOLE24,@HOLE70,@HOLE10,@HOLE43,@HOLE28,@HOLE23,@HOLE1,@HOLE52,@HOLE73,@HOLE60,@HOLE59,@HOLE11,@HOLE45,@HOLE58,@HOLE42,@HOLE49,@HOLE20,@HOLE57,@HOLE74,@HOLE39,@HOLE50,@HOLE14,@HOLE47,@HOLE62,@HOLE69,@HOLE8,@HOLE26,@HOLE12,@HOLE34,@HOLE65,@HOLE44,@HOLE41,@HOLE15,@HOLE21,@HOLE53,@HOLE68,@HOLE9,@HOLE30,@HOLE4,@HOLE54,@HOLE64,@HOLE25,@HOLE38,@HOLE76,@HOLE22,@HOLE35,@HOLE33,@HOLE75,@HOLE2,@HOLE36,@HOLE56,@HOLE66,@HOLE55,@HOLE51,@HOLE18,@HOLE31,@HOLE5,@HOLE16";"";77;"";;;
7;"R7";"C0402";1;"10K";;;
8;"U1";"TQFP32-08";1;"ATMEGA328";;;
9;"U3";"TEMT6000-SEN";1;"TEMT6000";;;
10;"U$28,U$38,U$36,U$50,U$34";"LILYPAD-BRD-LAYERS-SMALL";5;"";;;
11;"U$1,A3/17,U$41,A4/18,A2/16,A5/19,U$4,U$45,U$43,U$37,U$39";"PETAL-LONG-1-2SIDE";11;"SEWTAP9";;;
12;"U2";"SOT23-3";1;"MCP9700";;;
13;"U$42,U$12,U$19,U$40,U$17,U$15,U$46,U$13,U$18,U$10,U$44,U$11,U$16,U$14";"MOUST-BITE-1-(2_HOLES)";14;"MOUSE-BITE-12_HOLES";;;
14;"C10,C9";"0402-CAP";2;"4.7uF";;;
15;"S3";"TACTILE_SWITCH_SMD";1;"";;;
16;"D4";"LED-0603";1;"Yellow";;;
17;"M1";"VIBE-MOTOR-10MM-SMD";1;"MOTORSMD";;;
18;"D1";"LED-0603";1;"Status";;;
19;"BUTTONS0,SLIDEON0,BUTTON-0,SLIDEOFF0";"PETAL-MEDIUM-2SIDE";4;"SEWTAP8";;;
20;"R10,R9,R11,R0,R8";"0603-RES";5;"100";;;
21;"U$48,U$49";"MOUSE-BITE-3(NO_PADS)";2;"MOUSE-BITE-3(NO_PADS)";;;
22;"Y1";"RESONATOR-SMD";1;"8MHz";;;
23;"LED0,LED1,LED2,LED4,LED3";"LED-1206";5;"White";;;
24;"R4,R5";"0402-RES";2;"100";;;
25;"U$20";"MOUSE-BITE-4";1;"MOUSE-BITE-4";;;
26;"R13";"0402-RES";1;"10k";;;
27;"D3";"SOD-323";1;"";;;
28;"JP1";"JST-2-SMD";1;"LiPo";;;
29;"JP2";"1X06-SMD";1;"";;;
30;"C3";"0402-CAP";1;"1.0uF";;;
31;"B1";"BUZZER-CCV";1;"Buzzer";;;
32;"U4";"SOT23-5";1;"MCP73831";;;
33;"R6";"0402-RES";1;"33";;;
34;"U$51,U$7,U$8";"MOUSE-BITE-6";3;"MOUSE-BITE-66";;;
35;"S2";"AYZ0202";1;"AYZ0202";;;
36;"C5";"0603-CAP";1;"0.1uF";;;
37;"R2";"0402-RES";1;"10K";;;
38;"S4";"TACTILE_SWITCH_SMD";1;"Reset";;;
39;"U$33";"MOUSE-BITE-3";1;"MOUSE-BITE-3";;;
40;"C2";"EIA3528";1;"47uF";;;
41;"S1";"AYZ0202";1;"On/Off";;;
42;"JP4,JP3";"FIDUCIAL-1X2";2;"FIDUCIAL1X2";;;
43;"LOGO0";"LOGO-LPA";1;"LOGO-LPLPA";;;
44;"R3";"0402-RES";1;"200";;;
45;"D2";"LED-TRICOLOR-SMD";1;"LED-TRICOLOR";;;
46;"U$9";"LOGO-LILYPAD";1;"";;;
47;"TP-DTR0,PP-GND0,TP-RX0,TP-TX0,TP1,PP-SCK0,PP-MISO0,PP-RST0";"PAD.03X.05";8;"";;;
48;"U$52";"OSHW-LOGO-S";1;"OSHW-LOGOS";;;
49;"LOGO5,LOGO7,LOGO1,LOGO6,LOGO2,LOGO4,LOGO3";"LOGO-L";7;"LOGO-LPL";;;
50;"U$21,U$30,U$29,U$35,U$31";"LOGO-LILYPAD";5;"LOGO-LPLP";;;
