"Part";"Value";"Device";"Package";"Description";"";
"CN1";"1X4-3.5MM";"1X4-3.5MM";"1X04-3.5MM";"4-pin connector";"";
"J1";"1X2-3.5MM";"1X2-3.5MM";"1X2-3.5MM";"3.5mm Terminal block";"";
"JP1";"";"PINHD-1X6-3.5MM";"1X06-3.5MM";"PIN HEADER";"";
"JP2";"";"PINHD-1X6CB";"1X06-CLEANBIG";"PIN HEADER";"";
"JP3";"";"PINHD-1X8CLEANBIG";"1X08-CLEANBIG";"PIN HEADER";"";
"JP4";"";"PINHD-1X8CLEANBIG";"1X08-CLEANBIG";"PIN HEADER";"";
"JP5";"";"PINHD-1X8-3.5MM";"1X08-3.5MM";"PIN HEADER";"";
"JP6";"";"PINHD-1X8-3.5MM";"1X08-3.5MM";"PIN HEADER";"";
"JP7";"";"PINHD-1X8-3.5MM";"1X08-3.5MM";"PIN HEADER";"";
"JP8";"";"PINHD-1X6CB";"1X06-CLEANBIG";"PIN HEADER";"";
"JP9";"";"PINHD-1X1";"1X01";"Pin header 1x1 for 0.1" spacing";"";
"LED";"";"LED3MM";"LED3MM";"LED";"";
"POWER";"";"LED3MM";"LED3MM";"LED";"";
"R1";"";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R2";"";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"RESET";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";
"U$1";"ARDUINO-BPLACE";"ARDUINO-BPLACE";"ARDUINO-BPLACE";"Arduino Diecimila/Duemilanove";"";
"W";"";"PINHD-1X1";"1X01";"Pin header 1x1 for 0.1" spacing";"";
"X";"";"PINHD-1X1";"1X01";"Pin header 1x1 for 0.1" spacing";"";
"Y";"";"PINHD-1X1";"1X01";"Pin header 1x1 for 0.1" spacing";"";
"Z";"";"PINHD-1X1";"1X01";"Pin header 1x1 for 0.1" spacing";"";
