"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C10,C12,C23,C24";"0402-CAP";4;"10nF";;;
2;"U1";"SOT23-5";1;"3.3V";;;
3;"R3,R11,R16,R17,R14,R5,R4,R10,R15,R2";"0402-RES";10;"100k";;;
4;"R7";"0402-RES";1;"10";;;
5;"C9,C2,C7,C5";"0402-CAP";4;"0.1uF";;;
6;"C4,C6,C1";"EIA3216";3;"10uF";;;
7;"U2";"LQFP-48";1;"VS1053";;;
8;"C8,C3";"0402-CAP";2;"18pF";;;
9;"R13,R12";"0402-RES";2;"470";;;
10;"Q1";"CRYSTAL-SMD-5X3";1;"12.288MHz";;;
11;"U$12";"SC70";1;"1.8";;;
12;"C22,C14,C19,C17,C16,C20,C21,C15,C18,C13";"0402-CAP";10;"100nF";;;
13;"R8";"0402-RES";1;"330";;;
14;"R1";"0402-RES";1;"1M";;;
15;"JP2,JP1";"1X10";2;"M10"";;;
16;"U$2";"SC70";1;"2.8";;;
17;"C11";"0402-CAP";1;"47nF";;;
18;"R9,R6";"0402-RES";2;"20";;;
19;"JP4";"SJ_2S";1;"";;;
20;"U$4,U$5";"FIDUCIAL-1X2";2;"FIDUCIAL1X2";;;
21;"LED1";"LED-0603";1;"Power";;;
22;"JP3";"1X07";1;"";;;
23;"U$6";"SFE-LOGO-FLAME";1;"LOGO-SFESK";;;
24;"U$7";"SFE-NEW-WEBLOGO";1;"LOGO-SFENEW";;;
