"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R1";"0402-RES";1;"1M";;;
2;"C24,C12,C23,C10";"0402-CAP";4;"10nF";;;
3;"R12,R13";"0402-RES";2;"470";;;
4;"R6,R9";"0402-RES";2;"20";;;
5;"U$12";"SC70";1;"1.8";;;
6;"JP3";"1X07";1;"";;;
7;"R10,R14,R4,R11,R3,R16,R17,R5,R2,R15";"0402-RES";10;"100k";;;
8;"C18,C14,C20,C21,C15,C17,C19,C16,C22,C13";"0402-CAP";10;"100nF";;;
9;"C6,C4,C1";"EIA3216";3;"10uF";;;
10;"C8,C3";"0402-CAP";2;"18pF";;;
11;"R7";"0402-RES";1;"10";;;
12;"R8";"0402-RES";1;"330";;;
13;"C9,C7,C5,C2";"0402-CAP";4;"0.1uF";;;
14;"C11";"0402-CAP";1;"47nF";;;
15;"JP2,JP1";"1X10";2;"M10"";;;
16;"Q1";"CRYSTAL-SMD-5X3";1;"12.288MHz";;;
17;"U$2";"SC70";1;"2.8";;;
18;"LED1";"LED-0603";1;"Power";;;
19;"U2";"LQFP-48";1;"VS1053";;;
20;"U$5,U$4";"FIDUCIAL-1X2";2;"FIDUCIAL1X2";;;
21;"U1";"SOT23-5";1;"3.3V";;;
22;"U$6";"SFE-LOGO-FLAME";1;"LOGO-SFESK";;;
23;"JP4";"SJ_2S";1;"";;;
24;"U$7";"SFE-NEW-WEBLOGO";1;"LOGO-SFENEW";;;
