Partlist

Exported from boardEagle.brd at 08/08/2022 12:11

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value          Package                Library        Position (inch)       Orientation

C1       1uF            0402-CAP               SparkFun       (0.55 0.85)           R90
C2       27pF           0402-CAP               SparkFun       (0.15 0.65)           R270
C3       27pF           0402-CAP               SparkFun       (0.25 0.45)           R180
C4       10uF ESR<=5    EIA3216                SparkFun       (0.85 0.55)           R180
C5       1uF            0402-CAP               SparkFun       (0.5 0.45)            R270
C6       1uF            0402-CAP               SparkFun       (2.27 0.83)           R270
C7       0.1uF          0402-CAP               SparkFun       (0.4 0.85)            R90
C8       4.7uF          0402-CAP               SparkFun       (2.5 0.675)           R180
C9       10uF           EIA3216                SparkFun       (2.5 0.35)            R180
C10      0.1uF          0402-CAP               SparkFun       (2.5 0.265)           R0
C11      1uF            0402-CAP               SparkFun       (1.805 0.65)          R90
C12      560pF          0402-CAP               SparkFun       (2.25 0.7)            R270
C13      560pF          0402-CAP               SparkFun       (2.25 0.6)            R90
C14      0.1uF          0402-CAP               SparkFun       (0.25 1.15)           R180
C15      2.2uF          0402-CAP               SparkFun       (2.5 0.625)           R180
C16      470pF          0402-CAP               SparkFun       (2.63 0.435)          R270
C17      1uF            0402-CAP               SparkFun       (0.25 1.2)            R0
C18      10uF           EIA3216                SparkFun       (2.35 0.83)           R90
D1       BAS16          SOD-323                SparkFun       (1 0.4)               R90
D2       BAS16          SOD-323                SparkFun       (0.9 0.4)             R90
D3       BAS16          SOD-323                SparkFun       (1.55 0.45)           R90
D4       MBRA140        SMA-DIODE              SparkFun       (0.9 1.15)            R90
IC1      SCANTOOL       _STN_SCANTOOL_QFN-28-S SparkFun       (0.55 0.65)           R0
IC3      LM339PWR       TSSOP-14               _stn_logic     (1.45 0.7)            R270
IC4      MCP2551        SO-8                   _stn_microchip (2 0.65)              R270
JP1                     1X08                   SparkFun       (1.75 1.2)            R180
JP2      FIDUCIAL1X2    FIDUCIAL-1X2           SparkFun       (0.25 0.1)            R0
JP8      DNP            FTDI_BASIC             SparkFun       (1.1 0.1)             R0
JP9      DNP            1X02                   SparkFun       (1.75 0.85)           R90
JP10     FIDUCIAL1X2    FIDUCIAL-1X2           SparkFun       (2.45 1.6)            R0
LED1     YELLOW         LED-0603               SparkFun       (0.95 0.8)            R90
LED2     RED            LED-0603               SparkFun       (0.95 0.75)           R90
