"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"B1";"red";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";"";
"BAT";"JST 2-PH";"CON_JST_PH_2PIN";"JSTPH2";"JST 2-Pin Right-Angle Connector";"";"";"";"";
"C1";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";
"C2";"0.1uF";"CAP_CERAMIC_0805MP";"_0805MP";"Ceramic Capacitors";"";"";"";"";
"C3";"0.1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";
"C8";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";
"CN1";"";"USBMICRO_20329";"4UCONN_20329";"USB Connectors";"";"";"";"";
"D1";"3.6v";"DIODESOD-323";"SOD-323";"Diode";"";"";"";"";
"D2";"SCHOTTKY";"DIODE_SOD-123FL";"SOD-123FL";"Diode";"";"";"";"";
"D4";"3.6V";"DIODESOD-323";"SOD-323";"Diode";"";"";"";"";
"FTDI";"";"PINHD-1X6CB";"1X06-CLEANBIG";"PIN HEADER";"";"";"";"";
"IC1";"ATmega328P";"MEGA8-MI";"MLF32-TH";"MICROCONTROLLER";"";"ATMEGA88PA-MU";"1715491";"15R0272";
"IC2";"MIC5225-5v";"LP298XS";"SOT23-5L";"";"";"";"";"";
"JP1";"";"PINHD-1X12-CB";"1X12-CB";"PIN HEADER";"";"";"";"";
"JP2";"";"HEADER-1X2ROUND";"1X02_ROUND";"PIN HEADER";"";"";"";"";
"JP4";"";"PINHD-1X12-CB";"1X12-CB";"PIN HEADER";"";"";"";"";
"PWR";"green";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";"";
"Q1";"reset";"SWITCH_TACT_SMT4.6X2.8";"BTN_KMR2_4.6X2.8";"SMT Tact Switches";"";"";"";"";
"R1";"68 (0603)";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R2";"68 (0603)";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R3";"1.5K (0603)";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R4";"470 (0603)";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R5";"470 (0603)";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R6";"10K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";"";"";"";
"U$1";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";
"U$6";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";
"Y1";"16MHz";"RESONATORSMD";"RESONATOR-SMD";"Resonator";"";"";"";"";
