"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"BR2,BR1";"SOP254P665X270-4N";2;"DIODE-RECTIFIER-MB6S";;;
2;"C2,C1";"_CAP_TANT_A_3216-18R";2;"22u";;;
3;"MOD1";"EBYTE-E18-MS1PA1";1;"";;;
4;"SW1";"DSHP03TS-S";1;"";;;
5;"C4,C5";"_PKG_C_0603";2;"100n";;;
6;"C7";"_CAP_ELCO_D8_L10.5";1;"470u";;;
7;"R5,R6";"TP_DUAL_1206";2;"0";;;
8;"IC2";"SOIC127P1032X265-16N";1;"RTC-DS3231SN#";;;
9;"MOD2";"SILVERTEL_AG9800M";1;"";;;
10;"C6,C3";"_PKG_C_0603";2;"2u2";;;
11;"D1";"DIOM5126X250N-NOPOL";1;"DIODE-TVS-SMAJ58CA";;;
12;"IC1";"SOT95P280X145-5N";1;"LDO-TLV70333DBVR";;;
13;"R4";"_PKG_C_0603";1;"4K7";;;
14;"MOD3";"RPI-HAT-FULL";1;"RPI-HAT-FULL";;;
15;"U$1";"ELECTROLAMA";1;"LOGO-ELECTROLAMA";;;
16;"CON1";"TC2050-IDC-NL";1;"";;;
17;"BAT1";"KEYSTONE_3001";1;"";;;
18;"TP12,TP2,TP9,TP8,TP15,TP3,TP4,TP16,TP1,TP14,TP6,TP13,TP5,TP11,TP7,TP10";"TP";16;"TP";;;
