"Part";"Value";"Device";"Package";"Description";"PROD_ID";"STOREFRONT_ID";"VALUE";
"D1";"1N4148";"DIODEKIT";"DIODE-1N4148-KIT";"Diode";"DIO-08378";"";"";
"D2";"Zener";"DIODE-ZENER";"DIODE-1N4148-KIT";"Zener Diode";"DIO-13313";"";"Zener";
"FRAME2";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";
"J1";"";"M03-SCREW-5MM";"SCREWTERMINAL-5MM-3";"Header 3";"CONN-10134";"PRT-08433";"";
"J2";"";"M03SCREW";"SCREWTERMINAL-3.5MM-3";"Header 3";"CONN-08288";"";"";
"JP1";"JUMPER-PAD-2-NOYES_SILK";"JUMPER-PAD-2-NOYES_SILK";"PAD-JUMPER-2-NO_YES_SILK";"";"";"";"";
"K1";"JQX-15F";"RELAYPTH5";"RELAY-T90";"SPDT relay (COM-00101)";"COMP-10736";"";"JQX-15F";
"LED1";"";"LED5MM-KIT";"LED5MM-KIT";"LEDs";"DIO-09529";"";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";"";
"Q1";"2N3904";"TRANSISTOR_NPN2N3904-EZ";"TO-92-EZ";"Generic NPN BJT";"TRANS-08447";"";"";
"R1";"1K";"1KOHM-1/4W-1%(PTH)HORIZ-KIT";"AXIAL-0.3EZ";"RES-12182";"RES-12182";"";"1K";
"R2";"1K";"1KOHM-1/4W-1%(PTH)HORIZ-KIT";"AXIAL-0.3EZ";"RES-12182";"RES-12182";"";"1K";
"U$3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"U$4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"U$5";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"U$7";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"U$12";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";
