"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"C1";"100uF";"CAP_POLPTH1";"CPOL-RADIAL-100UF-25V";"Capacitor Polarized";"";"";"";"";
"C2";"220uF";"CAP_POLPTH1";"CPOL-RADIAL-100UF-25V";"Capacitor Polarized";"";"";"";"";
"C3";"0.1uF";"CAPKIT";"CAP-PTH-SMALL-KIT";"Capacitor";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";
"IC1";"L293D";"L293D";"DIL16";"PUSH-PULL 4 CHANNEL DRIVER";"";"L293D";"9589619";"56P8249";
"IC2";"LM2940CT-5.0";"V_REG_78XXSINK";"TO220-IGO";"Voltage Regulator";"";"";"";"";
"IC3";"7406N";"7406N";"DIL14";"Hex INVERTER, open collector high-voltage output";"";"";"";"";
"J1";"POWER_JACKPTH_LOCK";"POWER_JACKPTH_LOCK";"POWER_JACK_PTH_LOCK";"Power Jack";"";"";"";"";
"JP1";"";"M023.5MM_LOCK";"SCREWTERMINAL-3.5MM-2_LOCK";"Header 2";"";"";"";"";
"JP2";"";"M023.5MM_LOCK";"SCREWTERMINAL-3.5MM-2_LOCK";"Header 2";"";"";"";"";
"JP3";"SW1";"M02PTH";"1X02";"Header 2";"";"";"";"";
"JP4";"SW2";"M02PTH";"1X02";"Header 2";"";"";"";"";
"JP5";"";"M02PTH";"1X02";"Header 2";"";"";"";"";
"JP6";"";"M02PTH";"1X02";"Header 2";"";"";"";"";
"JP7";"I2C";"M04PTH";"1X04";"Header 4";"";"";"";"";
"JP8";"UART";"M04PTH";"1X04";"Header 4";"";"";"";"";
"JP9";"M13X22X13";"M13X22X13";"2X13";"";"";"";"";"";
"JP10";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";"";"";"";
"JP11";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";"";"";"";
"LED1";"green";"LED3MM";"LED3MM";"LEDs";"";"";"";"";
"LED2";"yellow";"LED3MM";"LED3MM";"LEDs";"";"";"";"";
"R1";"270";"RESISTOREZ";"AXIAL-0.3EZ";"Resistor";"";"";"";"";
"R2";"270";"RESISTOREZ";"AXIAL-0.3EZ";"Resistor";"";"";"";"";
"R3";"1k";"RESISTOREZ";"AXIAL-0.3EZ";"Resistor";"";"";"";"";
"R4";"1k";"RESISTOREZ";"AXIAL-0.3EZ";"Resistor";"";"";"";"";
"R5";"270";"RESISTOREZ";"AXIAL-0.3EZ";"Resistor";"";"";"";"";
"R6";"470";"RESISTOREZ";"AXIAL-0.3EZ";"Resistor";"";"";"";"";
"R7";"1k";"RESISTOREZ";"AXIAL-0.3EZ";"Resistor";"";"";"";"";
"R8";"1k";"RESISTOREZ";"AXIAL-0.3EZ";"Resistor";"";"";"";"";
"U$4";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";"";
