"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R1,R2";"RESPACK_4X0603_NO";2;"10K";;;
2;"U$19,U$23";"MOUNTINGHOLE_2.5_PLATED";2;"MOUNTINGHOLE2.5";;;
3;"U$21";"ADAFRUIT_2.5MM";1;"";;;
4;"U1";"QFN16_3MM";1;"MLX90393";;;
5;"C1";"0805_10MGAP";1;"10uf";;;
6;"JP3";"1X08_ROUND";1;"H8";;;
7;"FID3,FID1";"FIDUCIAL_1MM";2;"FIDUCIAL_1MM";;;
8;"C2";"0805_10MGAP";1;"10uF";;;
9;"U2";"SOT23-5";1;"AP2112K-3.3";;;
10;"D1";"SOD-323";1;"1N4148";;;
11;"U$3";"SYMBOL_COMPASSXY_5MM";1;"";;;
12;"Q1";"SOT363";1;"BSS138";;;
13;"JP2";"1X04_ROUND";1;"H3";;;
14;"U$18";"PCBFEAT-REV-040";1;"";;;
