Partlist

Exported from boardEagle.brd at 18/08/2022 18:17

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value                   Package                                    Library                    Position (inch)       Orientation

C1       C in                    DUAL-CAP                                   Testing                    (0.55 1)              R180
C2       C out                   DUAL-CAP                                   Testing                    (1.35 1)              R0
D1       RED                     LED-0603                                   SparkFun-LED               (3.08 0.85)           R180
FID1     FIDUCIAL1X2             FIDUCIAL-1X2                               SparkFun-Aesthetics        (3.1 0.275)           R0
FID2     FIDUCIAL1X2             FIDUCIAL-1X2                               SparkFun-Aesthetics        (0.13 3.635)          R0
JP1      1x9                     1X09_NO_SILK                               SparkFun-Connectors        (1.05 3.45)           R90
JP2      INPUT JACK              AUDIO-JACK-.25-INCH-HORIZ-PTH              SparkFun-Connectors        (2.7 4.4)             R270
JP3      9VBattery               1X02_LONGPADS                              SparkFun-Connectors        (1.92 1)              R270
JP4      POWER_JACK_TIP_NEGATIVE POWER-BARRELJACK-PTH-LOCK-FIXED            Testing                    (2.05 4.4)            R180
JP5      1x9                     1X09_NO_SILK                               SparkFun-Connectors        (1.15 3.45)           R90
JP6      1x3                     1X03_NO_SILK                               SparkFun-Connectors        (1.75 3.45)           R90
JP7      1x9                     1X09_NO_SILK                               SparkFun-Connectors        (1.25 3.45)           R90
JP8      1x9                     1X09_NO_SILK                               SparkFun-Connectors        (1.35 3.45)           R90
JP9      1x3                     1X03_NO_SILK                               SparkFun-Connectors        (3.1 1.95)            R90
JP10     1x9                     1X09_NO_SILK                               SparkFun-Connectors        (1.45 3.45)           R90
JP11     1x9                     1X09_NO_SILK                               SparkFun-Connectors        (1.55 3.45)           R90
JP12     1x9                     1X09_NO_SILK                               SparkFun-Connectors        (1.65 3.45)           R90
JP14     PTH-LED                 1X02_LONGPADS                              SparkFun-Connectors        (2.65 1)              R270
JP15     1x2                     1X02_NO_SILK                               SparkFun-Connectors        (0.05 3.8)            R270
JP16     1x2                     1X02_NO_SILK                               SparkFun-Connectors        (2.15 0.4)            R90
JP17     OUTPUT JACK             AUDIO-JACK-.25-INCH-HORIZ-PTH              SparkFun-Connectors        (0.65 4.4)            R270
JP19     1x2                     1X02_NO_SILK                               SparkFun-Connectors        (3.3 3.7)             R90
JP20     1x30                    1X30_NO_SILK                               SparkFun-Connectors        (0.15 1.15)           R0
JP21     1x3                     1X03_NO_SILK                               SparkFun-Connectors        (0.15 3.2)            R0
JP22     1x3                     1X03_NO_SILK                               SparkFun-Connectors        (0.65 3.3)            R0
JP23     1x3                     1X03_NO_SILK                               SparkFun-Connectors        (1.15 3.3)            R0
JP24     1x30                    1X30_NO_SILK                               SparkFun-Connectors        (0.15 1.25)           R0
JP25     1x3                     1X03_NO_SILK                               SparkFun-Connectors        (0.15 3.3)            R0
JP26     1x3                     1X03_NO_SILK                               SparkFun-Connectors        (0.65 3.2)            R0
JP27     1x3                     1X03_NO_SILK                               SparkFun-Connectors        (1.15 3.2)            R0
