"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U$8";"PCBFEAT-REV-040";1;"";;;
2;"R6,R5";"0603-NO";2;"2.2K";;;
3;"D1";"SOD-323";1;"1N4148";;;
4;"R2";"0603-NO";1;"220";;;
5;"D2,D3";"CHIPLED_0603";2;"BLUE";;;
6;"FID1,FID2";"FIDUCIAL_1MM";2;"FIDUCIAL_1MM";;;
7;"R4";"0603-NO";1;"10";;;
8;"R3";"0603-NO";1;"470";;;
9;"U$9";"FEATHERLOGO_SMALL";1;"";;;
10;"OK2";"DIL6-SMD";1;"H11L1MS";;;
11;"R1";"0603-NO";1;"33";;;
12;"MS1";"FEATHERWING_NODIM";1;"FEATHERWING_NODIM";;;
13;"X1,X2";"STX3100";2;"3.5mm";;;
14;"MIDIOUT0,MIDIIN0";"CP-2350";2;"DIN_5";;;
