"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"MICRO-SD-SOCKET-PP";1;"USD-SOCKETNEW";;;
2;"SJ2,SJ1";"SJ_2S";2;"SOLDERJUMPERNC";;;
3;"U$1";"REVISION";1;"REVISION";;;
4;"C2,C1";"0603-CAP";2;"0.1uF";;;
5;"U2";"UNO_R3_SHIELD_NOLABELS";1;"ARDUINO_R3_SHIELDNOLABELS";;;
6;"C3";"0603-CAP";1;"10uF";;;
7;"FRAME1";"CREATIVE_COMMONS";1;"FRAME-LETTER";;;
8;"JP4,JP7";"1X08";2;"";;;
9;"U3";"SO016";1;"HEX_CONVERTER";;;
10;"JP2,JP3";"FIDUCIAL-1X2";2;"FIDUCIAL1X2";;;
11;"R1";"0603-RES";1;"1k";;;
12;"S1";"TACTILE_SWITCH_SMD";1;"";;;
13;"LED1";"LED-0603";1;"Red";;;
14;"JP6";"1X06";1;"";;;
15;"J1";"2X3-NS";1;"AVR_SPI_PRG_6NS";;;
16;"LOGO1";"OSHW-LOGO-M";1;"OSHW-LOGOM";;;
17;"JP5";"1X10";1;"M10"";;;
18;"JP1";"SFE_LOGO_NAME_FLAME_.1";1;"SFE_LOGO_NAME_FLAME.1_INCH";;;
19;"LOGO2";"SFE_LOGO_FLAME_.6";1;"SFE_LOGO_FLAME.6_INCH";;;
