"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"MOD2";"SILVERTEL_AG9800M";1;"";;;
2;"C6,C3";"_PKG_C_0603";2;"2u2";;;
3;"D1";"DIOM5126X250N-NOPOL";1;"DIODE-TVS-SMAJ58CA";;;
4;"U$1";"ELECTROLAMA";1;"LOGO-ELECTROLAMA";;;
5;"C2,C1";"_CAP_TANT_A_3216-18R";2;"22u";;;
6;"IC1";"SOT95P280X145-5N";1;"LDO-TLV70333DBVR";;;
7;"BR1,BR2";"SOP254P665X270-4N";2;"DIODE-RECTIFIER-MB6S";;;
8;"C4,C5";"_PKG_C_0603";2;"100n";;;
9;"MOD3";"RPI-HAT-FULL";1;"RPI-HAT-FULL";;;
10;"R4";"_PKG_C_0603";1;"4K7";;;
11;"MOD1";"EBYTE-E18-MS1PA1";1;"";;;
12;"CON1";"TC2050-IDC-NL";1;"";;;
13;"R5,R6";"TP_DUAL_1206";2;"0";;;
14;"IC2";"SOIC127P1032X265-16N";1;"RTC-DS3231SN#";;;
15;"SW1";"DSHP03TS-S";1;"";;;
16;"C7";"_CAP_ELCO_D8_L10.5";1;"470u";;;
17;"BAT1";"KEYSTONE_3001";1;"";;;
18;"TP7,TP10,TP15,TP14,TP3,TP11,TP2,TP1,TP6,TP5,TP9,TP12,TP13,TP4,TP8,TP16";"TP";16;"TP";;;
