"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"RS_PART_NUMBER";"RS_PRICE-STOCK";
"D1";"DIODE-TVS-SMAJ58CA";"DIODE-TVS-SMAJ58CA";"DIOM5126X250N-NOPOL";"DIODE, TVS, 58V, 300W, 2SMA Taiwan Semi SMAJ58CA Bi-Directional TVS Diode, 2-Pin SMA";"DIODE, TVS, 58V, 300W, 2SMA Taiwan Semi SMAJ58CA Bi-Directional TVS Diode, 2-Pin SMA";"2.5mm";"Taiwan Semiconductor";"SMAJ58CA";"N/A";"https://www.mouser.com/Search/Refine.aspx?Keyword=N%2FA";"";"";
"IC1";"LDO-TLV70333DBVR";"LDO-TLV70333DBVR";"SOT95P280X145-5N";"300mA Low-IQ Low-Dropout (LDO) Regulator";"300mA Low-IQ Low-Dropout (LDO) Regulator";"1.45mm";"Texas Instruments";"TLV70333DBVR";"595-TLV70333DBVR";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-TLV70333DBVR";"";"";
"IC2";"RTC-DS3231SN#";"RTC-DS3231SN#";"SOIC127P1032X265-16N";"Real Time Clock Serial Maxim DS3231SN# Real Time Clock, Battery Backup, Calendar, Clock, I2C, 5.5 V, 16-Pin SOIC";"Real Time Clock Serial Maxim DS3231SN# Real Time Clock, Battery Backup, Calendar, Clock, I2C, 5.5 V, 16-Pin SOIC";"2.65mm";"Maxim Integrated";"DS3231SN#";"700-DS3231SN#";"https://www.mouser.com/Search/Refine.aspx?Keyword=700-DS3231SN%23";"1897251";"http://uk.rs-online.com/web/p/products/1897251";
"MOD1";"";"EBYTE-E18-MS1PA1";"EBYTE-E18-MS1PA1";"";"";"";"";"";"";"";"";"";
"MOD2";"";"SILVERTEL_AG9800M";"SILVERTEL_AG9800M";"";"";"";"";"";"";"";"";"";
"MOD3";"RPI-HAT-FULL";"RPI-HAT-FULL";"RPI-HAT-FULL";"";"";"";"";"";"";"";"";"";
"R4";"4K7";"RES-0603";"_PKG_C_0603";"";"";"";"";"";"";"";"";"";
"R5";"0";"TP_DUAL_1206";"TP_DUAL_1206";"To accomodate either0R 1206 link (oversized pads)2 x Harwin S2751-46R SMD Test Points";"";"";"";"";"";"";"";"";
"R6";"0";"TP_DUAL_1206";"TP_DUAL_1206";"To accomodate either0R 1206 link (oversized pads)2 x Harwin S2751-46R SMD Test Points";"";"";"";"";"";"";"";"";
"SW1";"";"SWITCH-DIP03-SMD";"DSHP03TS-S";"";"";"";"";"";"";"";"";"";
"TP1";"TP";"TP";"TP";"";"";"";"";"";"";"";"";"";
"TP2";"TP";"TP";"TP";"";"";"";"";"";"";"";"";"";
"TP3";"TP";"TP";"TP";"";"";"";"";"";"";"";"";"";
"TP4";"TP";"TP";"TP";"";"";"";"";"";"";"";"";"";
"TP5";"TP";"TP";"TP";"";"";"";"";"";"";"";"";"";
"TP6";"TP";"TP";"TP";"";"";"";"";"";"";"";"";"";
"TP7";"TP";"TP";"TP";"";"";"";"";"";"";"";"";"";
"TP8";"TP";"TP";"TP";"";"";"";"";"";"";"";"";"";
"TP9";"TP";"TP";"TP";"";"";"";"";"";"";"";"";"";
"TP10";"TP";"TP";"TP";"";"";"";"";"";"";"";"";"";
"TP11";"TP";"TP";"TP";"";"";"";"";"";"";"";"";"";
"TP12";"TP";"TP";"TP";"";"";"";"";"";"";"";"";"";
"TP13";"TP";"TP";"TP";"";"";"";"";"";"";"";"";"";
"TP14";"TP";"TP";"TP";"";"";"";"";"";"";"";"";"";
"TP15";"TP";"TP";"TP";"";"";"";"";"";"";"";"";"";
"TP16";"TP";"TP";"TP";"";"";"";"";"";"";"";"";"";
"U$1";"LOGO-ELECTROLAMA";"LOGO-ELECTROLAMA";"ELECTROLAMA";"";"";"";"";"";"";"";"";"";
