Partlist

Exported from boardEagle.brd at 20/08/2022 06:00

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part        Value                         Package                         Library                     Position (mil)        Orientation

C1          10uF                          0603                            SparkFun-Capacitors         (1425 625)            R270
C2          1.0uF                         0603                            SparkFun-Capacitors         (1370 625)            R270
C3          0.1uF                         0603                            SparkFun-Capacitors         (1315 625)            R270
C4          0.1uF                         0603                            SparkFun-Capacitors         (3350 350)            R225
C5          2.2uF                         0603                            SparkFun-Capacitors         (150 527)             R0
C6          0.1uF                         0603                            SparkFun-Capacitors         (145 100)             R270
C7          0.1uF                         0603                            SparkFun-Capacitors         (350 540)             R180
C8          12pF                          0603                            SparkFun-Capacitors         (200 100)             R270
C9          12pF                          0603                            SparkFun-Capacitors         (400 100)             R270
C10         15pF                          0603                            SparkFun-Capacitors         (1700 625)            R90
C11         15pF                          0603                            SparkFun-Capacitors         (1500 625)            R90
C12         1.0uF                         0603                            SparkFun-Capacitors         (500 900)             R180
C13         0.1uF                         0603                            SparkFun-Capacitors         (500 600)             R180
C14         0.1uF                         0603                            SparkFun-Capacitors         (565 100)             R270
C15         1.0uF                         0603                            SparkFun-Capacitors         (445 1135)            R90
C16         0.1uF                         0603                            SparkFun-Capacitors         (445 1325)            R270
C17         10uF                          0603                            SparkFun-Capacitors         (500 1325)            R270
C18         1.0uF                         0603                            SparkFun-Capacitors         (1750 300)            R0
C19         1.0uF                         0603                            SparkFun-Capacitors         (1750 500)            R180
D1          BLUE                          LED-0603                        SparkFun-LED                (850 745)             R180
D2          GREEN                         LED-0603                        SparkFun-LED                (850 800)             R180
D3          Yellow                        LED-0603                        SparkFun-LED                (850 855)             R180
D4          RED                           LED-0603                        SparkFun-LED                (850 950)             R180
D5          BLUE                          LED-0603                        SparkFun-LED                (850 650)             R180
D6          PRTR5V0U2F                    SOT886                          SparkFun-IC-Power           (365 750)             R0
E1          SPH0641LM4H-1                 SPH0641LM4H-1_MICROPHONE        SparkFun-Sensors            (570 1135)            R90
FD1         FIDUCIAL1X2                   FIDUCIAL-1X2                    SparkFun-Aesthetics         (50 1450)             R0
FD2         FIDUCIAL1X2                   FIDUCIAL-1X2                    SparkFun-Aesthetics         (50 1450)             MR0
FD3         FIDUCIAL1X2                   FIDUCIAL-1X2                    SparkFun-Aesthetics         (3650 50)             R0
FD4         FIDUCIAL1X2                   FIDUCIAL-1X2                    SparkFun-Aesthetics         (3650 50)             MR0
J1          USB                           USB-C-16P                       SparkFun-Connectors         (250 750)             R270
J2          CORTEX_JTAG_DEBUG_MINIMUM_PTH 2X5-PTH-1.27MM                  SparkFun-Connectors         (852 1226)            R270
J3          CORTEX_JTAG_DEBUG_PTH         2X5-PTH-1.27MM                  SparkFun-Connectors         (150 350)             R270
J4          SMD                           1X08_SMD_COMBINED               SparkFun-Connectors         (3400 1300)           R270
J5                                        1X12_SMD_COMBINED               SparkFun-Connectors         (2000 1100)           R0
J6          QWIIC_RIGHT_ANGLE             JST04_1MM_RA                    SparkFun-Connectors         (200 1250)            R270
J7          CAMERA-HIMAXBOTTOM-CONTACT    FPC-24-AMPHENOL-SFV24R-1STE1HLF SparkFun-Connectors         (1500 95)             R0
J8          PTH                           1X08_NO_SILK                    SparkFun-Connectors         (3625 1300)           R270
J9                                        1X12_SMD_COMBINED               SparkFun-Connectors         (3100 400)            R180
J12         PTH                           1X08_NO_SILK                    SparkFun-Connectors         (3550 1300)           R270
J14         PTH                           1X12_NO_SILK                    SparkFun-Connectors         (3100 150)            R180
J22         PTH                           1X12_NO_SILK                    SparkFun-Connectors         (2000 1350)           R0
J23         PTH                           1X12_NO_SILK                    SparkFun-Connectors         (3100 50)             R180
